DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
1119.8352,8.5,8.6503,2.3236,-0.009525,109.1348,92.7704,0.321063,0.324589,3.0842,17.5139,12.9716,6.9663,-35.9514,42.674,1367.8793
1119.9876,8.5,8.6518,2.3199,-0.009536,108.8888,94.9171,0.3366,0.33988,3.0882,17.0616,12.6149,6.8604,-35.6604,42.674,1359.2855
1120.14,8.5,8.6623,2.3223,-0.00882,108.8268,96.5786,0.334603,0.337769,3.0984,17.2749,12.838,6.8894,-35.082,42.7198,1358.8623
1120.2924,8.5,8.6735,2.3252,-0.008039,108.781,98.197,0.331053,0.334117,3.1091,17.5471,13.1124,6.9303,-34.4782,42.7697,1359.1627
1120.4448,8.5,8.6848,2.3281,-0.007258,108.7353,99.8155,0.327502,0.330465,3.1198,17.8193,13.3868,6.9712,-33.8744,42.8195,1359.4633
1120.5972,8.5,8.6935,2.3281,-0.007162,109.1393,99.9112,0.323105,0.326096,3.1124,17.7437,13.3626,6.9687,-33.6593,42.8568,1361.2831
1120.7496,8.5,8.7006,2.3264,-0.007454,109.7986,99.1423,0.318226,0.321319,3.0948,17.4705,13.1688,6.9416,-33.665,42.8869,1363.9659
1120.902,8.5,8.7078,2.3248,-0.007746,110.4579,98.3733,0.313348,0.316543,3.0771,17.1973,12.9749,6.9144,-33.6707,42.9171,1366.6487
1121.0544,8.5,8.71,2.3221,-0.008475,110.9254,96.7009,0.308661,0.311996,3.0642,17.0972,12.916,6.9115,-33.9089,42.9124,1370.8431
1121.2068,8.5,8.7031,2.3176,-0.009992,111.0473,93.4011,0.304319,0.307862,3.0598,17.3088,13.1001,6.9523,-34.5659,42.8453,1377.7609
1121.3592,8.5,8.6962,2.3131,-0.01151,111.1693,90.1013,0.299978,0.303727,3.0553,17.5204,13.2842,6.9931,-35.223,42.7781,1384.6785
1121.5116,8.5,8.6904,2.3089,-0.012791,111.246,87.1646,0.296313,0.300238,3.0514,17.7209,13.4593,7.0348,-35.8541,42.7215,1391.1011
1121.664,8.5,8.6978,2.3091,-0.01121,110.7733,88.6363,0.300859,0.304578,3.0538,17.7873,13.5264,7.0869,-36.1702,42.794,1391.5156
1121.8164,8.5,8.7052,2.3093,-0.009629,110.3007,90.1079,0.305405,0.308918,3.0562,17.8537,13.5935,7.139,-36.4863,42.8664,1391.9301
1121.9688,8.5,8.7126,2.3094,-0.008049,109.828,91.5795,0.309951,0.313258,3.0586,17.9201,13.6606,7.1911,-36.8025,42.9389,1392.3445
1122.1212,8.5,8.6958,2.3125,-0.00734,108.8775,92.9135,0.312215,0.315396,3.0425,18.0306,13.6632,7.2575,-36.3963,42.9537,1392.0012
1122.2736,8.5,8.6728,2.3164,-0.006855,107.8041,94.2121,0.313892,0.316967,3.0217,18.1525,13.6493,7.3276,-35.8042,42.9537,1391.4629
1122.426,8.5,8.6497,2.3202,-0.00637,106.7306,95.5107,0.315568,0.318538,3.0009,18.2743,13.6354,7.3977,-35.2121,42.9537,1390.9246
1122.5784,8.5,8.6485,2.3304,-0.006108,104.7518,93.6877,0.310335,0.313392,3.0186,18.8208,14.0422,7.6934,-34.9432,42.9537,1386.1659
1122.7308,8.5,8.6679,2.3464,-0.006056,101.9186,88.9184,0.29858,0.301905,3.0726,19.7681,14.8463,8.2021,-34.9793,42.9537,1377.4238
1122.8832,8.5,8.6872,2.3625,-0.006005,99.0854,84.1491,0.286825,0.290418,3.1267,20.7154,15.6504,8.7107,-35.0154,42.9537,1368.6816
1123.0356,8.5,8.7171,2.3726,-0.005948,97.7375,81.2886,0.281541,0.285254,3.167,21.0753,16.0136,9.0148,-35.3903,42.9537,1363.2838
