DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESS,SP,TEMP,TENS
119.1768,8.5,,,,,,,,,,,,
119.3292,8.5,,,,,,,,,,,,
119.4816,8.5,,,,,,,,,,,,
119.634,8.5,,,,,,,,,,,,
119.7864,8.5,,,,,,,,,,,,
119.9388,8.5,,,,,,,,,,,,
120.0912,8.5,,,,,,,,,,,,
120.2436,8.5,,,,,,,,,,,,
120.396,8.5,,,,,,,,,,,,
120.5484,8.5,,,,,,,,,,,,
120.7008,8.5,,,,,,,,,,,,
120.8532,8.5,,,,,,,,,,,,
121.0056,8.5,,,,,,,,,,,,
121.158,8.5,,,,,,,,,,,,
121.3104,8.5,,,,,,,,,,,,
121.4628,8.5,,,,,,,,,,,,
121.6152,8.5,,,,,,,,,,,,
121.7676,8.5,,,,,,,,,,,,
121.92,8.5,,,,,,,,,,,,
122.0724,8.5,,,,,,,,,,,,
122.2248,8.5,,,,,,,,,,,,
122.3772,8.5,,,,,,,,,,,,
122.5296,8.5,,,,,,,,,,,,
122.682,8.5,,,,,,,,,,,,
122.8344,8.5,,,,,,,,,,,,
122.9868,8.5,,,,,,,,,,,,
123.1392,8.5,,,,,,,,,,,,
123.2916,8.5,,,,,,,,,,,,
123.444,8.5,,,,,,,,,,,,
123.5964,8.5,,,,,,,,,,,,
123.7488,8.5,,,,,,,,,,,,
123.9012,8.5,,,,,,,,,,,,
124.0536,8.5,,,,,,,,,,,,
124.206,8.5,,,,,,,,,,,,
124.3584,8.5,,,,,,,,,,,,
124.5108,8.5,,,,,,,,,,,,
124.6632,8.5,,,,,,,,,,,,
124.8156,8.5,,,,,,,,,,,,
124.968,8.5,,,,,,,,,,,,
125.1204,8.5,,,,,,,,,,,,
125.2728,8.5,,,,,,,,,,,,
125.4252,8.5,,,,,,,,,,,,
125.5776,8.5,,,,,,,,,,,,
125.73,8.5,,,,,,,,,,,,
125.8824,8.5,,,,,,,,,,,,
126.0348,8.5,,,,,,,,,,,,
126.1872,8.5,,,,,,,,,,,,
126.3396,8.5,,,,,,,,,,,,
126.492,8.5,,,,,,,,,,,,
126.6444,8.5,,,,,,,,,,,,
126.7968,8.5,,,,,,,,,,,,
126.9492,8.5,,,,,,,,,,,,
127.1016,8.5,,,,,,,,,,,,
127.254,8.5,,,,,,,,,,,,
127.4064,8.5,,,,,,,,,,,,
127.5588,8.5,,,,,,,,,,,,
127.7112,8.5,,,,,,,,,,,,
127.8636,8.5,,,,,,,,,,,,
128.016,8.5,,,,,,,,,,,,
128.1684,8.5,,,,,,,,,,,,
128.3208,8.5,,,,,,,,,,,,
128.4732,8.5,,,,,,,,,,,,
128.6256,8.5,,,,,,,,,,,,
