DEPTH,BS,CALI,DENS,DRHO,DTC,GR,GR_CORR,NEUT,NEUT_CORR,PEF,RESD,RESD_CORR,RESS,RESS_CORR,SP,TEMP,TENS
610.5144,8.5,9.184,,,115.8231,98.9535,102.577,,,,35.2421,35.0268,16.0005,16.4918,146.9014,33.0099,652.3814
610.6668,8.5,9.1835,,,115.2287,100.3625,104.0664,,,,36.0712,35.7881,16.1508,16.5869,146.6395,33.0325,653.768
610.8192,8.5,9.1829,,,114.6343,101.7715,105.5558,,,,36.9004,36.5494,16.3011,16.6819,146.3777,33.0551,655.1547
610.9716,8.5,9.1824,,,114.0399,103.1805,107.0452,,,,37.7295,37.3106,16.4514,16.777,146.1159,33.0777,656.5413
611.124,8.5,9.1671,,,114.1148,103.6809,107.4579,,,,36.6327,36.2534,16.0689,16.3917,145.95,33.0736,654.6995
611.2764,8.5,9.1485,,,114.3429,103.9731,107.6241,,,,35.0949,34.7797,15.5643,15.8965,145.8061,33.0635,652.1184
611.4288,8.5,9.13,,,114.571,104.2654,107.7902,,,,33.5571,33.306,15.0598,15.4012,145.6621,33.0534,649.5373
611.5812,8.5,9.0826,,,114.8146,103.5467,106.8936,,,,32.3169,32.0985,14.641,14.9707,145.5305,33.053,649.5347
611.7336,8.5,9.0101,,,115.0718,101.9415,105.0652,,,,31.3375,31.1244,14.2974,14.5969,145.4095,33.0612,651.7932
611.886,8.5,8.9376,,,115.3291,100.3363,103.2367,,,,30.3581,30.1503,13.9538,14.2231,145.2885,33.0693,654.0516
612.0384,8.5,8.8782,,,115.4649,99.0592,101.7344,,,,29.697,29.4832,13.7289,13.9639,145.0752,33.0752,655.0521
612.1908,8.5,8.8581,,,115.2402,98.7564,101.2004,,,,29.9808,29.7277,13.8562,14.0449,144.5878,33.0744,652.3181
612.3432,8.5,8.838,,,115.0155,98.4536,100.6664,,,,30.2646,29.9722,13.9835,14.1259,144.1003,33.0736,649.5841
612.4956,8.5,8.8179,,,114.7909,98.1507,100.1324,,,,30.5485,30.2167,14.1109,14.2069,143.6129,33.0728,646.85
612.648,8.5,8.8173,,,114.6998,96.9916,98.9317,,,,30.2435,29.9326,14.0381,14.1645,142.7427,33.0716,649.3241
612.8004,8.5,8.8173,,,114.6127,95.807,97.7112,,,,29.921,29.6328,13.9595,14.1183,141.8611,33.0704,651.953
612.9528,8.5,8.8173,,,114.5256,94.6224,96.4907,,,,29.5986,29.333,13.8808,14.0722,140.9794,33.0692,654.5818
613.1052,8.5,8.8173,,,114.4715,95.6184,97.4778,,,,29.6897,29.4252,14.024,14.2107,140.1505,33.0709,655.5759
613.2576,8.5,8.8173,,,114.4321,97.5927,99.4555,,,,29.9665,29.6934,14.2667,14.4322,139.3453,33.0739,655.8365
613.41,8.5,8.8173,,,114.3928,99.5671,101.4332,,,,30.2433,29.9616,14.5094,14.6536,138.54,33.077,656.0972
613.5624,8.5,8.8174,,,114.3838,100.66,102.5471,,,,30.3196,30.038,14.6555,14.7923,137.7482,33.0779,655.5005
613.7148,8.5,8.8175,,,114.4185,100.4818,102.4152,,,,30.1067,29.8379,14.6622,14.8116,136.9757,33.0759,653.6672
613.8672,8.5,8.8177,,,114.4533,100.3035,102.2833,,,,29.8939,29.6379,14.6689,14.8309,136.2032,33.0739,651.834
614.0196,8.5,8.818,,,114.4793,100.1147,102.1433,,,,29.7606,29.5118,14.7035,14.8747,135.4551,33.0729,650.492
614.172,8.5,8.8193,,,114.446,99.8542,101.949,,,,30.1666,29.8876,14.9275,15.0839,134.8722,33.0789,652.4781
614.3244,8.5,8.8207,,,114.4127,99.5936,101.7547,,,,30.5725,30.2633,15.1514,15.2931,134.2893,33.0848,654.4644
614.4768,8.5,8.822,,,114.3794,99.3331,101.5604,,,,30.9784,30.639,15.3753,15.5023,133.7064,33.0907,656.4505
614.6292,8.5,8.8399,,,114.6203,100.6253,102.9332,,,,30.6181,30.3101,15.4216,15.5668,133.2037,33.0867,655.1284
614.7816,8.5,8.8609,,,114.9104,102.1964,104.5874,,,,30.1201,29.8546,15.4361,15.6053,132.7154,33.0808,653.2123
614.934,8.5,8.8818,,,115.2006,103.7675,106.2416,,,,29.6222,29.3991,15.4505,15.6437,132.2271,33.075,651.2962
615.0864,8.5,8.9237,,,115.394,104.4264,107.0757,,,,29.347,29.153,15.5024,15.7393,131.457,33.0744,651.8854
615.2388,8.5,8.9816,,,115.5137,104.3885,107.2834,,,,29.242,29.067,15.583,15.8785,130.4716,33.0778,654.3885
615.3912,8.5,9.0396,,,115.6333,104.3506,107.491,,,,29.1369,28.9809,15.6635,16.0177,129.4861,33.0813,656.8916
615.5436,8.5,9.0835,,,115.6447,104.141,107.4941,,,,29.358,29.1966,15.9126,16.2963,128.5634,33.084,658.3276
