DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,DRHO,PEF,DTC
1191.006,8.5,8.712,102.011,-371.737,4.454,6.464,7.849,2.343,0.341,0.001,2.994,106.96
1191.158,8.5,8.697,98.319,-371.467,4.721,6.933,8.432,2.319,0.318,0.005,2.967,105.988
1191.311,8.5,8.458,97.334,-371.4,5.031,7.488,9.169,2.34,0.304,0.015,2.985,105.794
1191.463,8.5,8.219,86.0,-371.339,4.245,6.325,7.785,2.379,0.315,0.023,3.016,104.667
1191.616,8.5,8.196,95.607,-370.917,4.494,6.964,8.581,2.401,0.326,0.024,3.014,104.404
1191.768,8.5,8.488,112.748,-370.992,4.585,7.069,8.63,2.379,0.334,0.018,2.993,105.201
1191.92,8.5,8.566,107.624,-371.147,4.136,6.238,7.519,2.339,0.333,0.01,2.943,105.866
1192.073,8.5,8.566,99.749,-371.25,4.188,6.412,7.67,2.343,0.321,0.006,2.912,105.762
1192.225,8.5,8.555,107.901,-371.442,4.243,6.518,7.817,2.328,0.337,0.01,2.906,104.337
1192.378,8.5,8.645,98.433,-371.479,4.656,7.341,8.828,2.327,0.326,0.02,2.944,102.896
1192.53,8.5,8.622,103.766,-372.104,4.797,7.517,9.022,2.351,0.329,0.027,2.987,104.332
1192.682,8.5,8.544,96.377,-372.857,4.207,6.205,7.44,2.345,0.316,0.022,3.009,104.877
1192.835,8.5,8.323,95.155,-373.325,4.082,5.764,6.912,2.328,0.321,0.011,3.024,105.923
1192.987,8.5,8.264,90.701,-373.904,4.344,6.145,7.405,2.363,0.318,0.003,3.041,105.772
1193.14,8.5,8.342,117.332,-374.808,4.544,6.458,7.81,2.393,0.319,0.004,3.065,98.692
1193.292,8.5,8.443,86.5,-375.549,5.615,8.431,10.229,2.516,0.308,0.004,3.079,96.143
1193.444,8.5,8.772,93.33,-376.308,5.157,7.471,8.939,2.421,0.284,0.0,3.105,96.373
1193.597,8.5,8.275,91.717,-376.813,4.519,6.174,7.291,2.355,0.292,-0.002,3.1,96.66
1193.749,8.5,8.196,97.626,-377.393,4.59,6.201,7.238,2.329,0.298,-0.002,3.073,103.77
1193.902,8.5,8.219,107.986,-377.504,4.4,5.95,6.887,2.358,0.338,0.0,3.016,105.04
1194.054,8.5,8.451,90.119,-377.942,4.444,6.207,7.156,2.383,0.336,0.001,2.984,104.218
1194.206,8.5,8.488,97.784,-378.808,4.658,6.761,7.75,2.379,0.344,0.001,2.987,103.941
1194.359,8.5,8.473,95.435,-379.6,4.339,6.323,7.17,2.37,0.342,0.001,2.996,103.295
1194.511,8.5,8.331,93.886,-380.517,4.425,6.551,7.301,2.367,0.331,0.001,3.029,103.215
1194.664,8.5,8.376,104.156,-381.496,4.505,6.748,7.407,2.407,0.329,0.001,3.053,102.755
1194.816,8.5,8.398,118.264,-381.576,4.468,6.662,7.326,2.401,0.347,0.004,3.102,102.318
1194.968,8.5,8.578,102.75,-381.825,4.661,6.911,7.702,2.406,0.349,0.006,3.13,102.411
1195.121,8.5,8.637,101.364,-381.652,4.975,7.211,8.111,2.415,0.36,0.006,3.138,102.253
1195.273,8.5,8.645,110.284,-381.112,5.21,7.129,8.085,2.405,0.339,0.004,3.122,102.716
1195.426,8.5,8.667,104.786,-380.585,5.419,6.822,7.788,2.403,0.328,0.003,3.105,102.857
1195.578,8.5,8.645,103.041,-380.313,5.617,6.953,8.016,2.42,0.298,0.004,3.092,101.961
1195.73,8.5,8.607,106.496,-379.846,5.163,6.437,7.536,2.423,0.297,0.013,3.082,92.221
1195.883,8.5,8.637,83.921,-379.567,6.922,9.477,11.346,2.58,0.269,0.017,3.067,89.936
1196.035,8.5,8.656,78.717,-379.408,7.899,11.942,14.397,2.493,0.247,0.016,3.06,89.308
