DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TEMP,TENS
57.3024,12.25,,,,,,,,,,,,29.5321,668.8322
57.4548,12.25,,,,,,,,,,,,29.5321,671.1129
57.6072,12.25,,,,,,,,,,,,29.5321,672.8821
57.7596,12.25,,,,,,,,,,,,29.5321,674.4357
57.912,12.25,,,,,,,,,,,,29.5321,675.9894
58.0644,12.25,,,,,,,,,,,,29.5321,676.4755
58.2168,12.25,,,,,,,,,,,,29.5321,675.5031
58.3692,12.25,,,,,,,,,,,,29.5321,674.5306
58.5216,12.25,,,,,,,,,,,,29.5321,673.6641
58.674,12.25,,,,,,,,,,,,29.5321,673.4387
58.8264,12.25,,,,,,,,,,,,29.5321,673.2133
58.9788,12.25,,,,,,,,,,,,29.5321,672.9879
59.1312,12.25,,,,,,,,,,,,29.5321,672.6948
59.2836,12.25,,,,,,,,,,,,29.5321,672.3907
59.436,12.25,,,,,,,,,,,,29.5321,672.0867
59.5884,12.25,,,,,,,,,,,,29.5321,672.3799
59.7408,12.25,,,,,,,,,,,,29.5321,673.1055
59.8932,12.25,,,,,,,,,,,,29.5321,673.8312
60.0456,12.25,,,,,,,,,,,,29.5321,674.0855
60.198,12.25,,,,,,,,,,,,29.5321,673.236
60.3504,12.25,,,,,,,,,,,,29.5321,672.3865
60.5028,12.25,,,,,,,,,,,,29.5321,671.5737
60.6552,12.25,,,,,,,,,,,,29.5321,672.7179
60.8076,12.25,,,,,,,,,,,,29.5321,673.8621
60.96,12.25,,,,,,,,,,,,29.5321,675.0064
61.1124,12.25,,,,,,,,,,,,29.5321,674.7306
61.2648,12.25,,,,,,,,,,,,29.5321,673.9495
61.4172,12.25,,,,,,,,,,,,29.5321,673.1684
61.5696,12.25,,,,,,,,,,,,29.5321,672.9429
61.722,12.25,,,,,,,,,,,,29.5321,673.3785
61.8744,12.25,,,,,,,,,,,,29.5321,673.8141
62.0268,12.25,,,,,,,,,,,,29.5321,673.9592
62.1792,12.25,,,,,,,,,,,,29.5321,672.7426
62.3316,12.25,,,,,,,,,,,,29.5321,671.5261
62.484,12.25,,,,,,,,,,,,29.5321,670.3095
62.6364,12.25,,,,,,,,,,,,29.5321,672.4573
62.7888,12.25,,,,,,,,,,,,29.5321,674.9997
62.9412,12.25,,,,,,,,,,,,29.5321,677.5421
63.0936,12.25,,,,,,,,,,,,29.5321,677.4661
63.246,12.25,,,,,,,,,,,,29.5321,675.7452
63.3984,12.25,,,,,,,,,,,,29.5321,674.0243
63.5508,12.25,,,,,,,,,,,,29.5321,672.8931
63.7032,12.25,,,,,,,,,,,,29.5321,672.9412
63.8556,12.25,,,,,,,,,,,,29.5321,672.9894
64.008,12.25,,,,,,,,,,,,29.5321,672.9574
64.1604,12.25,,,,,,,,,,,,29.5321,671.4797
64.3128,12.25,,,,,,,,,,,,29.5321,670.0019
64.4652,12.25,,,,,,,,,,,,29.5321,668.5242
64.6176,12.25,,,,,,,,,,,,29.5321,670.0123
64.77,12.25,,,,,,,,,,,,29.5321,672.3781
64.9224,12.25,,,,,,,,,,,,29.5321,674.7438
65.0748,12.25,,,,,,,,,,,,29.5414,676.3346
65.2272,12.25,,,,,,,,,,,,29.5604,677.1215
65.3796,12.25,,,,,,,,,,,,29.5794,677.9083
65.532,12.25,,,,,,,,,,,,29.6026,678.2693
65.6844,12.25,,,,,,,,,,,,29.6413,677.0276
65.8368,12.25,,,,,,,,,,,,29.68,675.786
65.9892,12.25,,,,,,,,,,,,29.7187,674.5444
66.1416,12.25,,,,,,,,,,,,29.6883,674.3037
66.294,12.25,,,,,,,,,,,,29.6526,674.1394
66.4464,12.25,,,,,,,,,,,,29.6169,673.9751
66.5988,12.25,,,,,,,,,,,,29.6453,673.761
66.7512,12.25,,,,,,,,,,,,29.7085,673.52
66.9036,12.25,,,,,,,,,,,,29.7717,673.279
67.056,12.25,,,,,,,,,,,,29.8117,673.37
67.2084,12.25,,,,,,,,,,,,29.8117,674.0325
67.3608,12.25,,,,,,,,,,,,29.8117,674.6951
67.5132,12.25,,,,,,,,,,,,29.8117,675.1064
67.6656,12.25,,,,,,,,,,,,29.8117,672.8677
67.818,12.25,,,,,,,,,,,,29.8117,670.629
67.9704,12.25,,,,,,,,,,,,29.8117,668.3903
68.1228,12.25,,,,,,,,,,,,29.8117,670.4332
68.2752,12.25,,,,,,,,,,,,29.8117,673.5082
68.4276,12.25,,,,,,,,,,,,29.8117,676.5832
68.58,12.25,,,,,,,,,,,,29.8117,678.8251
68.7324,12.25,,,,,,,,,,,,29.8117,680.3131
68.8848,12.25,,,,,,,,,,,,29.8117,681.8011
69.0372,12.25,,,,,,,,,,,,29.8117,682.6866
69.1896,12.25,,,,,,,,,,,,29.8117,681.7064
69.342,12.25,,,,,,,,,,,,29.8117,680.7263
69.4944,12.25,,,,,,,,,,,,29.8117,679.746
69.6468,12.25,,,,,,,,,,,,29.8117,679.409
69.7992,12.25,,,,,,,,,,,,29.8117,679.0964
69.9516,12.25,,,,,,,,,,,,29.8117,678.7839
70.104,12.25,,,,,,,,,,,,29.8117,679.2431
70.2564,12.25,,,,,,,,,,,,29.8117,680.0615
70.4088,12.25,,,,,,,,,,,,29.8117,680.8798
70.5612,12.25,,,,,,,,,,,,29.8117,681.4006
70.7136,12.25,,,,,,,,,,,,29.8117,681.4778
70.866,12.25,,,,,,,,,,,,29.8117,681.5552
71.0184,12.25,,,,,,,,,,,,29.8117,681.4605
71.1708,12.25,,,,,,,,,,,,29.8117,680.1135
71.3232,12.25,,,,,,,,,,,,29.8117,678.7664
71.4756,12.25,,,,,,,,,,,,29.8117,677.4194
71.628,12.25,,,,,,,,,,,,29.8117,676.8074
71.7804,12.25,,,,,,,,,,,,29.8117,676.3354
71.9328,12.25,,,,,,,,,,,,29.8117,675.8636
72.0852,12.25,,,,,,,,,,,,29.8117,676.3333
72.2376,12.25,,,,,,,,,,,,29.8117,677.5457
72.39,12.25,,,,,,,,,,,,29.8117,678.7581
72.5424,12.25,,,,,,,,,,,,29.8117,679.6669
72.6948,12.25,,,,,,,,,,,,29.8117,679.7878
72.8472,12.25,,,,,,,,,,,,29.8117,679.9088
72.9996,12.25,,,,,,,,,,,,29.8117,680.0297
