DEPTH,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP
412.5468,8.5,8.9191,2.1351,131.9332,86.0596,0.387828,2.3736,37.9358,19.3776,4.2576,-266.2238
412.6992,8.5,8.9023,2.133,131.9781,83.1407,0.386349,2.4102,42.8891,21.5655,4.6798,-265.8856
412.8516,8.5,8.91,2.1346,132.396,83.0543,0.387548,2.3846,69.4043,31.9612,5.4736,-266.2177
413.004,8.5,8.9471,2.1448,132.9008,89.0947,0.362045,2.3733,88.7849,37.6496,5.7333,-266.7169
413.1564,8.5,9.0411,2.0966,132.8275,77.755,0.360456,2.4453,73.3258,32.1535,5.4684,-267.2779
413.3088,8.5,9.0606,2.0768,133.7662,86.3742,0.351753,2.3379,69.2531,31.0655,5.5606,-267.7415
413.4612,8.5,8.9628,2.1336,134.024,88.4985,0.373612,2.3988,66.0223,29.6803,5.2721,-268.2115
413.6136,8.5,8.9746,2.1296,134.7695,79.7839,0.384034,2.4338,62.0323,27.696,4.6851,-268.9399
413.766,8.5,8.9615,2.1248,133.8042,86.968,0.403033,2.4231,56.7624,24.9806,4.0238,-269.4221
413.9184,8.5,9.0434,2.1243,133.0002,73.26,0.405564,2.4423,52.9853,23.5621,3.6597,-269.3973
414.0708,8.5,9.0856,2.1245,132.1893,78.8524,0.398805,2.4007,51.4432,23.3493,3.5892,-269.3996
414.2232,8.5,9.0347,2.0976,133.4822,85.7951,0.398729,2.4294,47.5138,22.5318,3.4351,-269.6937
414.3756,8.5,8.9801,2.0993,134.4133,87.0644,0.379033,2.3588,43.4432,21.1058,3.311,-270.1798
414.528,8.5,8.9598,2.1247,134.8172,80.8852,0.380055,2.5144,38.8852,19.6637,3.2019,-270.375
414.6804,8.5,8.857,2.1023,135.364,74.4277,0.376094,2.4564,37.7079,20.1178,3.3249,-270.113
414.8328,8.5,8.6839,2.1305,133.6291,78.6005,0.392224,2.4349,36.6602,20.57,3.251,-270.0529
414.9852,8.5,8.5906,2.1508,132.6087,69.5448,0.383169,2.4452,44.4497,24.4915,3.2433,-270.2856
415.1376,8.5,8.5653,2.1537,133.157,81.0086,0.353963,2.5078,44.6563,25.8641,3.1501,-270.2624
415.29,8.5,8.5746,2.1424,134.0601,66.3171,0.348798,2.4453,37.6517,23.6501,3.2152,-270.0119
415.4424,8.5,8.5867,2.1361,132.8806,79.9572,0.348232,2.4673,35.9208,22.9359,3.5824,-269.5811
415.5948,8.5,8.6076,2.1319,130.3064,69.8222,0.352374,2.4514,37.3348,23.7984,4.0847,-268.9258
415.7472,8.5,8.6088,2.1258,128.8749,63.7427,0.338773,2.3086,33.921,21.8726,4.4622,-268.4734
415.8996,8.5,8.596,2.1181,127.9596,72.4225,0.327341,2.4474,31.6101,20.5122,4.7069,-268.0481
416.052,8.5,8.4099,2.1269,121.1038,73.6781,0.334166,2.5681,30.7732,20.0757,4.8042,-267.7581
416.2044,8.5,8.3268,2.2534,112.0198,77.8162,0.311599,2.6577,43.0645,26.9572,5.8684,-267.6939
416.3568,8.5,8.3307,2.3457,99.8668,74.6561,0.271688,3.0813,68.5533,43.861,11.0834,-267.6845
416.5092,8.5,8.4544,2.4704,90.099,63.3345,0.216724,3.3151,160.2361,98.6877,24.5981,-267.8567
416.6616,8.5,8.3615,2.5129,82.269,52.8387,0.186119,3.8276,126.8665,86.1464,31.1635,-268.1649
416.814,8.5,8.3344,2.4773,80.2692,56.9704,0.189174,3.7265,120.291,83.6742,34.9259,-268.5376
416.9664,8.5,8.333,2.4715,82.0667,56.0491,0.200708,3.5841,190.719,130.1902,45.064,-268.7875
417.1188,8.5,8.3368,2.4336,82.051,60.3868,0.206612,3.5687,201.6059,134.9384,42.9913,-269.051
417.2712,8.5,8.393,2.4458,84.7888,55.2106,0.197716,3.8474,237.6383,150.4525,41.1441,-269.102
417.4236,8.5,8.433,2.4393,82.6867,61.1194,0.189723,3.7973,214.8342,130.1975,38.1398,-269.0942
417.576,8.5,8.427,2.4179,80.6883,55.8289,0.176331,3.8578,198.2262,117.7129,39.3918,-269.0915
417.7284,8.5,8.4451,2.4645,80.3554,54.2412,0.17172,4.0054,206.1291,119.4661,43.0956,-269.1316
417.8808,8.5,8.4278,2.4716,80.0454,50.1276,0.166364,4.0118,225.7375,125.2356,44.2097,-268.9505
418.0332,8.5,8.4447,2.4892,80.4968,52.3094,0.171107,3.9792,195.9596,99.2764,33.2489,-268.8683
418.1856,8.5,8.4232,2.4753,80.5184,46.7217,0.175495,3.912,169.4203,86.9909,28.5204,-268.5155
418.338,8.5,8.4769,2.499,80.5459,49.1583,0.162069,3.8624,219.7379,114.502,35.1904,-267.9039
418.4904,8.5,8.4586,2.4987,80.8343,51.7273,0.164468,3.8833,210.7562,103.9629,33.1416,-267.7088
418.6428,8.5,8.4247,2.4607,83.8864,52.0734,0.175617,3.7646,177.5441,82.9195,27.5864,-267.2101
418.7952,8.5,8.3885,2.3989,88.2037,60.3556,0.195778,3.7529,130.0632,61.32,20.7039,-266.8473
418.9476,8.5,8.3773,2.3825,88.6135,48.5409,0.198555,3.7435,99.3044,49.7869,16.9693,-266.5768
419.1,8.5,8.3495,2.405,88.6457,49.4816,0.189384,3.7443,94.6072,50.083,16.4794,-266.4588
419.2524,8.5,8.3883,2.4355,87.1112,41.4722,0.190146,3.97,75.2284,42.1332,13.4659,-266.4531
419.4048,8.5,8.4004,2.4229,84.1164,45.4191,0.195596,3.8866,77.4038,45.4314,13.5947,-266.1467
419.5572,8.5,8.3918,2.428,86.1922,54.1177,0.198527,3.7323,96.8506,57.0494,14.6401,-265.7084
419.7096,8.5,8.4017,2.445,96.1945,59.3774,0.218282,3.5546,86.5079,48.7505,10.8193,-265.5493
419.862,8.5,8.4096,2.3208,106.7964,70.9094,0.26164,3.1196,40.5758,23.5825,5.4536,-265.3961
420.0144,8.5,8.4192,2.2037,119.6641,91.058,0.323023,2.542,41.8648,23.8716,4.8821,-265.2576
