DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESS,SP,TEMP,TENS
119.9388,8.5,,,,,79.6342,,,,,,,,623.2227
120.0912,8.5,,,,,80.6418,,,,,,,,622.9302
120.2436,8.5,,,,,83.2725,,,,,,,,622.5919
120.396,8.5,,,,,85.9032,,,,,,,,622.2536
120.5484,8.5,,,,,87.2982,,,,,,,,622.1808
120.7008,8.5,,,,,86.0379,,,,,,,,622.6784
120.8532,8.5,,,,,84.7776,,,,,,,,623.176
121.0056,8.5,,,,,83.5639,,,,,,,,623.6694
121.158,8.5,,,,,83.5718,,,,,,,,624.0509
121.3104,8.5,,,,,83.5797,,,,,,,,624.4324
121.4628,8.5,,,,,83.5876,,,,,,,,624.8138
121.6152,8.5,,,,,82.0061,,,,,,,,623.545
121.7676,8.5,,,,,79.9114,,,,,,,,621.7433
121.92,8.5,,,,,77.8166,,,,,,,,619.9417
122.0724,8.5,,,,,76.9211,,,,,,,,619.2292
122.2248,8.5,,,,,77.3505,,,,,,,,619.7202
122.3772,8.5,,,,,77.78,,,,,,,,620.2111
122.5296,8.5,,,,,78.235,,,,,,,,620.8401
122.682,8.5,,,,,78.7958,,,,,,,,622.0413
122.8344,8.5,,,,,79.3566,,,,,,,,623.2426
122.9868,8.5,,,,,79.9174,,,,,,,,624.4438
123.1392,8.5,,,,,79.7939,,,,,,,,623.4293
123.2916,8.5,,,,,79.6055,,,,,,,,622.2046
123.444,8.5,,,,,79.4172,,,,,,,,620.9799
123.5964,8.5,,,,,79.4406,,,,,,,,621.2657
123.7488,8.5,,,,,79.5871,,,,,,,,622.4291
123.9012,8.5,,,,,79.7336,,,,,,,,623.5924
124.0536,8.5,,,,,79.1049,,,,,,,,624.2521
124.206,8.5,,,,,77.0475,,,,,,,,623.9836
124.3584,8.5,,,,,74.99,,,,,,,,623.715
124.5108,8.5,,,,,73.0587,,,,,,,,623.3694
124.6632,8.5,,,,,72.7815,,,,,,,,622.0142
124.8156,8.5,,,,,72.5043,,,,,,,,620.6589
124.968,8.5,,,,,72.2271,,,,,,,,619.3036
125.1204,8.5,,,,,73.9671,,,,,,,,619.609
125.2728,8.5,,,,,76.2432,,,,,,,,620.3557
125.4252,8.5,,,,,78.5193,,,,,,,,621.1025
125.5776,8.5,,,,,79.3544,,,,,,,,621.3285
125.73,8.5,,,,,78.8006,,,,,,,,621.0525
125.8824,8.5,,,,,78.2468,,,,,,,,620.7765
126.0348,8.5,,,,,78.0583,,,,,,,,620.535
126.1872,8.5,,,,,79.1043,,,,,,,,620.4103
126.3396,8.5,,,,,80.1504,,,,,,,,620.2855
126.492,8.5,,,,,81.1964,,,,,,,,620.1608
126.6444,8.5,,,,,78.2824,,,,,,,,619.9035
126.7968,8.5,,,,,75.1489,,,,,,,,619.6389
126.9492,8.5,,,,,72.0155,,,,,,,,619.3742
127.1016,8.5,,,,,72.3677,,,,,,,,619.749
127.254,8.5,,,,,74.4628,,,,,,,,620.4436
127.4064,8.5,,,,,76.5578,,,,,,,,621.1382
127.5588,8.5,,,,,78.3429,,,,,,,,621.2653
127.7112,8.5,,,,,79.6346,,,,,,,,620.489
