DEPT,DSO8,DSOZ,DT,ECGR,HCAL,HDRA,PEF8,PEFZ,RLA1,RLA2,RLA3,RLA4,RLA5,RSO8,RSOZ,RT_HRLT,RXO8,RXOZ,TENS,TNPH
1671.5232,-0.0001,0.0142,90.9343,123.821,8.5306,0.0008,3.2497,3.2598,5.1768,5.5246,5.7011,5.8834,6.3789,0.0001,0.0001,6.9685,4.5031,4.5294,3831.5715,0.2928
1671.3708,-0.0052,0.0228,91.9083,119.1892,8.4959,0.0021,3.2261,3.1648,5.3466,5.6044,5.7964,5.97,6.4853,0.0001,0.0001,6.9776,4.4292,4.3585,3778.7859,0.2881
1671.2184,-0.0428,0.0215,92.9923,112.4965,8.3456,0.0009,3.04,3.1055,4.9175,5.1379,5.3327,5.4962,6.0053,0.011,0.0018,6.4347,3.5863,2.8843,3809.2856,0.2814
1671.066,0.0727,0.0211,92.1289,111.1582,8.2763,-0.0007,2.8518,3.1155,3.1758,3.266,3.3637,3.451,3.7833,0.0259,0.0355,4.0036,1.9652,2.6232,3801.6431,0.2774
1670.9136,-0.024,0.0115,92.0877,113.3885,8.4266,-0.0011,3.1735,3.1485,3.2627,3.3296,3.4246,3.5058,3.8472,0.0508,0.0268,4.0412,3.0013,2.7089,3774.4285,0.2824
1670.7612,-0.0166,0.0051,91.6252,118.2778,8.5075,-0.0002,3.2222,3.1978,5.4414,5.6666,5.8597,6.0096,6.5771,0.0001,0.0172,7.0372,4.4339,4.1801,3802.0715,0.2955
1670.6088,-0.0235,0.0,91.0023,121.5181,8.519,-0.0002,3.1517,3.2412,5.4185,5.6118,5.7579,5.9169,6.4462,0.0001,0.0001,6.8822,4.3669,4.4277,3793.9285,0.3049
1670.4564,0.0122,0.0,91.6468,116.8691,8.5422,-0.0006,3.3458,3.2763,5.0535,5.3654,5.5114,5.6716,6.1573,0.0001,0.0001,6.6829,4.4571,4.4878,3792.7144,0.2804
1670.304,-0.0055,0.0,91.5967,115.8829,8.5653,-0.0002,3.301,3.2827,5.0045,5.3188,5.5088,5.6662,6.1507,0.0001,0.0001,6.6975,4.6014,4.5965,3785.8572,0.2877
1670.1516,0.0022,0.0,91.0824,114.4625,8.5884,-0.0002,3.2807,3.2927,5.1191,5.2265,5.5368,5.71,6.1847,0.0001,0.0001,6.6536,4.7085,4.7048,3783.4287,0.2773
1669.9992,-0.0029,0.0137,90.0935,118.1028,8.5653,-0.0018,3.3244,3.3364,5.1957,5.2444,5.5889,5.7865,6.2598,0.0001,0.0001,6.737,4.797,4.8059,3790.3569,0.289
1669.8468,0.0119,0.0139,89.2174,115.5091,8.5768,-0.0033,3.336,3.3684,5.2802,5.3623,5.6195,5.881,6.3537,0.0001,0.0001,6.8137,4.937,4.958,3803.4285,0.2783
1669.6944,0.0265,0.04,88.4964,115.7482,8.6,-0.0064,3.447,3.4445,5.5263,5.6251,5.8429,6.1574,6.6537,0.0001,0.0001,7.1075,5.1568,5.1058,3804.3574,0.2776
1669.542,-0.0053,0.0422,88.3055,116.4601,8.6115,-0.0064,3.3118,3.4597,5.6985,5.809,6.0251,6.3336,6.8511,0.0001,0.0001,7.2997,5.206,5.1552,3801.0771,0.2941
1669.3896,0.0029,0.0358,88.6058,119.1145,8.6115,-0.0055,3.396,3.4718,5.6035,5.7094,5.9189,6.1778,6.7024,0.0001,0.0001,7.2251,5.0043,4.9495,3763.0,0.3019
1669.2372,0.0075,0.0247,89.1438,118.703,8.6231,-0.003,3.4438,3.4386,5.2859,5.4073,5.5997,5.8041,6.3364,0.0001,0.0001,6.844,4.643,4.7403,3800.7144,0.3236
1669.0848,0.0078,0.0,89.5402,115.361,8.6231,-0.0018,3.3833,3.406,5.1234,5.2139,5.3902,5.5694,6.0963,0.0001,0.0001,6.4816,4.599,4.6046,3802.5713,0.3343
1668.9324,-0.0018,0.0,89.9663,116.9816,8.6346,-0.0011,3.4406,3.3685,5.1316,5.2058,5.3674,5.5342,6.0832,0.0001,0.0001,6.407,4.6071,4.6019,3797.2856,0.3325
1668.78,-0.0041,0.0,90.1605,116.7954,8.6578,0.0001,3.2569,3.2991,5.0938,5.1589,5.3166,5.4875,6.0191,0.0001,0.0001,6.3232,4.5809,4.5208,3802.7144,0.3231
1668.6276,0.0067,0.0,90.219,117.9481,8.6578,0.0004,3.2373,3.259,4.9779,5.0445,5.1923,5.3475,5.8751,0.0001,0.0001,6.159,4.4165,4.4197,3817.2856,0.2997
1668.4752,0.0048,0.0121,90.275,115.2036,8.6462,-0.0014,3.2846,3.2797,4.938,5.0043,5.1589,5.3045,5.8234,0.0001,0.0001,6.107,4.3244,4.3765,3804.2859,0.3042
1668.3228,0.0307,0.0247,89.953,113.5938,8.6578,-0.0037,3.2983,3.3234,5.0163,5.1016,5.2667,5.4151,5.9383,0.0001,0.0001,6.2594,4.4449,4.4181,3808.0,0.3041
1668.1704,0.0291,0.0482,89.6203,112.8254,8.6578,-0.0066,3.3929,3.3652,5.0892,5.1665,5.3346,5.4753,6.001,0.0001,0.0001,6.3077,4.5113,4.524,3783.4287,0.3109
1668.018,-0.0156,0.0606,89.4516,113.4654,8.6578,-0.0074,3.2175,3.3354,5.0803,5.1726,5.3441,5.495,6.0188,0.0001,0.0001,6.3567,4.6051,4.5868,3808.0,0.2882
