TVD,GR,T-TEMP,ROP
88.392,43.6483,22.0781,21.3756
88.5444,42.8399,22.0726,21.557
88.6968,42.4902,22.091,21.6454
88.8492,41.2482,22.0757,21.7338
89.0016,40.9372,22.0604,21.8178
89.154,42.4294,22.1091,21.7294
89.3064,42.2639,22.1193,21.641
89.4588,43.1474,22.1295,21.5526
89.6112,42.632,22.1975,21.3167
89.7636,41.6593,22.2022,21.0302
89.916,41.3538,22.207,20.7437
90.0684,41.1588,22.2453,20.6451
90.2208,42.4326,22.2707,20.764
90.3732,43.4114,22.2961,20.8829
90.5256,46.4033,22.3754,20.8199
90.678,48.8338,22.3979,19.9451
90.8304,49.8238,22.4183,19.0703
90.9828,50.3256,22.4386,18.1955
91.1352,50.3617,22.4835,18.9984
91.2876,49.4993,22.5014,19.9829
91.44,50.8491,22.5194,20.9675
91.5924,50.699,22.5771,21.8573
91.7448,49.1611,22.6021,22.6894
91.8972,47.9921,22.6272,23.5216
92.0496,46.1666,22.6522,24.0201
92.202,46.0447,22.6836,23.8738
92.3544,46.164,22.715,23.7275
92.5068,47.6546,22.7464,23.5277
92.6592,48.2069,22.7933,22.4944
92.8116,47.1758,22.8022,21.4611
92.964,47.2404,22.8112,20.4277
93.1164,47.3436,22.8202,18.5532
93.2688,46.6778,22.8908,16.4408
93.4212,47.264,22.9003,14.3284
93.5736,47.6768,22.9098,14.2616
93.726,48.4755,22.9666,16.2491
93.8784,48.3977,22.9819,18.2365
94.0308,50.0942,22.9972,19.5504
94.1832,49.8201,23.0491,18.4531
94.3356,50.463,23.0491,17.3557
94.488,51.4464,23.0491,16.2584
94.6404,50.8387,23.1097,19.6172
94.7928,50.0879,23.186,23.272
94.9452,49.9426,23.278,26.9268
95.0976,48.6264,23.278,28.861
95.25,46.9979,23.278,29.8974
95.4024,45.6106,23.278,30.9338
95.5548,46.033,23.278,31.6213
95.7072,46.7605,23.278,31.7311
95.8596,48.1211,23.278,31.8408
96.012,49.9164,23.2837,31.8625
96.1644,50.0246,23.2932,31.0548
96.3168,49.5169,23.3028,30.247
96.4692,49.3954,23.3505,29.4392
96.6216,49.0362,23.3307,30.6668
96.774,48.6609,23.311,32.3555
96.9264,48.1823,23.3224,34.0442
97.0788,48.4705,23.3238,32.2223
97.2312,48.1424,23.3238,27.3451
97.3836,48.5369,23.3238,22.468
97.536,49.23,23.3361,18.8695
97.6884,48.6632,23.3312,19.025
97.8408,48.9069,23.3263,19.1804
97.9932,49.0741,23.3409,19.3359
98.1456,49.7802,23.3457,17.8919
98.298,50.255,23.3505,16.4044
98.4504,50.1927,23.3553,14.9168
98.6028,50.9986,23.3604,14.7684
98.7552,50.0987,23.3654,15.2134
98.9076,49.1425,23.3845,15.6584
99.06,50.5432,23.3747,15.8358
99.2124,49.8421,23.3645,15.6316
99.3648,49.9549,23.3543,15.4273
99.5172,50.903,23.3746,15.2211
99.6696,51.0766,23.3799,15.0016
99.822,51.0167,23.4142,14.7821
99.9744,51.6686,23.4058,14.5627
100.1268,51.4321,23.3963,14.9918
100.2792,51.3192,23.3867,15.5344
100.4316,50.3563,23.4241,16.077
100.584,49.4692,23.4141,15.8578
100.7364,49.2056,23.4041,15.0653
100.8888,48.3749,23.4153,14.2727
101.0412,49.9978,23.4153,13.3812
101.1936,51.4797,23.4153,12.2473
101.346,52.4948,23.4302,11.1133
101.4984,52.4193,23.4261,9.9898
101.6508,54.2255,23.4216,9.9654
101.8032,53.4673,23.4171,9.941
101.9556,53.54,23.4434,9.9166
102.108,54.9445,23.439,9.8967
102.2604,55.6616,23.4345,9.8784
