DEPT,GR,T-TEMP,ROP
106.68,64.8837,23.4801,16.4684
106.8324,65.7048,23.5169,16.6787
106.9848,65.1009,23.5177,16.889
107.1372,65.647,23.5132,17.231
107.2896,65.339,23.5087,17.5877
107.442,63.3632,23.5185,17.9443
107.5944,63.5806,23.509,17.9837
107.7468,62.2202,23.4994,17.8283
107.8992,61.4796,23.5216,17.6728
108.0516,63.1473,23.517,17.634
108.204,64.9585,23.5124,17.823
108.3564,66.4702,23.5079,18.0119
108.5088,68.008,23.5471,18.1842
108.6612,67.9442,23.5376,18.0836
108.8136,65.2986,23.528,17.983
108.966,65.0703,23.5671,17.8824
109.1184,62.994,23.5626,18.0305
109.2708,62.7512,23.5581,18.25
109.4232,65.3068,23.5536,18.4694
109.5756,65.3469,23.5609,18.6329
109.728,65.3897,23.5519,18.7396
109.8804,64.9632,23.543,18.8463
110.0328,64.1787,23.5664,18.8703
110.1852,64.4888,23.5618,18.5929
110.3376,64.9013,23.5573,18.3156
110.49,66.3872,23.5527,18.0382
110.6424,66.1881,23.591,18.3959
110.7948,66.2927,23.5815,18.7983
110.9472,66.6845,23.5719,19.2006
111.0996,66.6818,23.6101,19.3878
111.252,67.394,23.6005,19.461
111.4044,66.9944,23.591,19.5341
111.5568,66.5328,23.6278,19.5845
111.7092,66.6912,23.6192,19.5967
111.8616,66.2491,23.6106,19.6089
112.014,64.5955,23.602,19.6264
112.1664,62.6463,23.6117,19.6965
112.3188,59.4253,23.6064,19.7666
112.4712,59.4038,23.6012,19.8368
112.6236,60.3465,23.5959,19.766
112.776,64.1616,23.5906,19.6623
112.9284,66.1504,23.5854,19.5587
113.0808,67.107,23.6942,19.2886
113.2332,67.2207,23.7126,18.871
113.3856,65.973,23.6919,18.4535
113.538,62.873,23.6711,18.2722
113.6904,61.8185,23.6503,18.8026
113.8428,62.1762,23.6412,19.3329
113.9952,63.2721,23.6371,19.8633
114.1476,64.6845,23.6329,18.4335
114.3,66.9019,23.6288,16.94
114.4524,67.0526,23.6246,15.4465
114.6048,65.7994,23.6204,15.7555
114.7572,66.7369,23.6163,16.8833
114.9096,65.0507,23.611,18.011
115.062,63.5088,23.6041,18.7234
115.2144,64.6103,23.5972,18.8301
115.3668,64.241,23.5902,18.9368
115.5192,63.3523,23.5833,19.0304
115.6716,63.0171,23.654,19.0334
115.824,62.3808,23.6471,19.0365
115.9764,61.2923,23.661,19.0395
116.1288,61.5839,23.6651,18.9112
116.2812,63.6174,23.6693,18.7588
116.4336,64.3984,23.6734,18.6064
116.586,64.9565,23.6558,18.6174
116.7384,65.9537,23.6501,18.7546
116.8908,65.2429,23.6443,18.8917
117.0432,64.737,23.6698,18.9848
117.1956,64.5283,23.6634,18.9665
117.348,65.2789,23.6872,18.9482
117.5004,64.9572,23.672,18.9298
117.6528,65.4323,23.6627,18.8658
117.8052,67.0883,23.681,18.8018
117.9576,68.1409,23.6994,18.7378
118.11,69.6465,23.7008,18.621
118.2624,69.0366,23.689,18.4838
118.4148,67.2425,23.6773,18.3467
118.5672,64.6578,23.7278,18.27
118.7196,63.9069,23.7154,18.27
118.872,61.3673,23.7188,18.27
119.0244,59.4293,23.7205,18.2114
119.1768,60.5137,23.7205,17.8457
119.3292,62.4614,23.7206,17.4799
119.4816,64.094,23.7264,17.1142
119.634,67.3651,23.7321,17.3139
119.7864,67.3206,23.7357,17.5912
119.9388,67.0526,23.7357,17.8686
120.0912,66.2863,23.7357,18.1314
120.2436,65.0719,23.7609,18.3844
120.396,64.7573,23.7539,18.6374
120.5484,65.1729,23.7554,18.8439
120.7008,63.7005,23.763,18.9506
120.8532,63.5496,23.7703,19.0572
121.0056,63.6555,23.7772,19.1762
121.158,61.8374,23.7792,19.6182
121.3104,61.2007,23.7731,20.0602
121.4628,62.0308,23.767,20.5021
121.6152,61.8878,23.8021,20.4257
121.7676,62.5924,23.7894,20.1818
121.92,62.1995,23.7791,19.938
122.0724,62.9073,23.7728,19.7419
122.2248,63.0883,23.7664,19.5987
122.3772,62.368,23.7792,19.4554
122.5296,63.801,23.7925,19.3625
122.682,63.8394,23.8386,19.4783
122.8344,63.0625,23.8293,19.5941
122.9868,64.0368,23.9604,19.71
123.1392,65.0038,23.9888,19.5697
123.2916,63.7924,23.9787,19.4051
123.444,63.6902,23.9724,19.2405
123.5964,63.8346,23.966,18.4994
123.7488,62.2515,24.0227,17.4235
123.9012,64.1933,24.0165,16.3475
124.0536,64.3308,24.0114,16.0702
