DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1858.9,50.763401,2529.296875,117.561111,0.322221,8.554259,0.02842,2.446372,3.228519,91.523643,-139.176117,1.466712,5.019065,5.030771,5.03859,5.048381,5.066052,5.077868,5.137533,0.131265,0.043583,8.5
1859.0,50.772968,2514.648438,115.110268,0.323365,8.575359,0.0252,2.442099,3.177917,91.32206,-139.170044,1.517333,5.032398,5.045884,5.054894,5.06618,5.086558,5.100189,5.169081,0.13224,0.044559,8.5
1859.1,50.77282,2509.765625,115.842155,0.32113,8.617795,0.025017,2.446396,3.148752,91.076317,-139.224823,1.758556,4.964543,4.96776,4.969905,4.972589,4.977422,4.980647,4.996936,0.133415,0.045734,8.5
1859.2,50.738365,2509.765625,114.880074,0.318143,8.65158,0.026353,2.452975,3.166102,90.866066,-139.197433,2.135972,5.148842,5.137327,5.129664,5.120102,5.102936,5.091524,5.03381,0.134099,0.046417,8.5
1859.3,50.737473,2509.765625,114.541992,0.315597,8.661971,0.029536,2.460886,3.188076,90.663689,-139.179169,2.639534,5.262585,5.232879,5.213169,5.188634,5.144763,5.115723,4.969019,0.134191,0.046509,8.5
1859.4,50.806412,2514.648438,111.285866,0.316903,8.657505,0.03268,2.464849,3.21221,90.470734,-139.203522,3.100239,5.377811,5.338628,5.312665,5.280388,5.222783,5.18473,4.992342,0.133985,0.046304,8.5
1859.5,50.738544,2519.53125,110.627075,0.323624,8.648727,0.034498,2.463152,3.225889,90.263077,-139.227875,3.492328,5.185684,5.147901,5.122865,5.091741,5.036194,4.999499,4.813962,0.133666,0.045984,8.5
1859.6,50.762329,2514.648438,109.755135,0.334938,8.636844,0.035326,2.459581,3.235581,90.106918,-139.233963,3.688712,4.776408,4.748964,4.730756,4.708095,4.667577,4.640759,4.504943,0.133107,0.045425,8.5
1859.7,50.71944,2514.648438,110.776237,0.34448,8.612537,0.033718,2.452701,3.248746,90.008224,-139.288773,3.723835,5.053188,5.030134,5.014822,4.995749,4.9616,4.938964,4.824375,0.132094,0.044412,8.5
1859.8,50.768471,2514.648438,110.941803,0.347927,8.571071,0.031412,2.447948,3.260906,89.969879,-139.288773,3.524166,5.231103,5.211138,5.19787,5.181334,5.151699,5.132038,5.032596,0.130637,0.042955,8.5
1859.9,50.7164,2514.648438,113.291832,0.343466,8.517524,0.029325,2.446989,3.295458,89.956337,-139.255295,3.200342,5.267156,5.251186,5.240566,5.227321,5.203565,5.187788,5.108057,0.129004,0.041323,8.5
1860.0,50.723106,2519.53125,114.002861,0.334329,8.46394,0.029005,2.452445,3.323601,89.942329,-139.27356,2.73546,5.267984,5.258315,5.251878,5.243844,5.229413,5.219814,5.171344,0.127723,0.040041,8.5
1860.1,50.733955,2514.648438,116.391777,0.321905,8.432977,0.028888,2.458901,3.342366,89.87928,-139.21875,2.254848,5.296951,5.296334,5.295923,5.29541,5.294485,5.293869,5.290758,0.127146,0.039465,8.5
1860.2,50.717087,2524.414063,117.22348,0.311549,8.425796,0.028442,2.463979,3.325798,89.772896,-139.157867,1.852419,5.431554,5.442247,5.449388,5.458327,5.474454,5.485232,5.539567,0.127239,0.039557,8.5
