DEPTH,ADTEMP:1,ADTEMP:2,ADTEMP:3,ARH16P:1,ARH16P:2,ARH16P:3,ARH32P:1,ARH32P:2,ARH32P:3,ARH48P:1,ARH48P:2,ARH48P:3,DGRCC:1,DGRCC:2,DGRCC:3,DGRCC:4,GBCGC:1,GBCGC:2,GBCGC:3,R09P:1,R09P:2,R09P:3,R15P:1,R15P:2,R15P:3,R27P:1,R27P:2,R27P:3,R39P:1,R39P:2,R39P:3,TVD:1,TVD:2,TVD:3,TVD:4
424.5864,29.2969,,,,,,,,,,,,76.0169,75.3584,,,,,,15.3933,15.3558,15.3558,28.1037,27.815,27.815,31.81,31.4315,31.4315,31.519,31.1919,31.1919,423.2168,423.2132,,
424.7388,29.2969,,,,,,,,,,,,81.0165,80.4295,,,,,,15.3259,15.3307,15.3307,27.752,27.8031,27.8031,30.8243,30.9707,30.9707,29.7155,29.8442,29.8442,423.3636,423.3651,,
424.8912,29.2969,,,,,,,,,,,,76.105,76.1173,,,,,,15.2629,15.5776,15.5776,28.3004,28.9758,28.9758,32.2093,32.7961,32.7961,30.6928,31.122,31.122,423.5093,423.5115,,
425.0436,29.2969,,,,,,,,,,,,74.0877,73.7062,,,,,,18.2889,18.215,18.215,35.6323,35.5723,35.5723,38.8693,38.7358,38.7358,35.5483,35.4291,35.4291,423.6613,423.663,,
425.196,29.2969,,,,,,,,,,,,68.0892,69.9611,,,,,,19.2075,19.0855,19.0855,38.5938,38.2495,38.2495,40.802,40.3838,40.3838,36.6854,36.4807,36.4807,423.8047,423.8076,,
425.3484,29.2969,,,,,,,,,,,,75.5722,74.9299,,,,,,17.1009,17.0986,17.0986,31.0824,31.1295,31.1295,33.648,33.7196,33.7196,32.1087,32.1705,32.1705,423.9565,423.9586,,
425.5008,29.2969,,,,,,,,,,,,75.3928,76.4883,,,,,,15.1339,15.8062,15.8062,25.1201,26.6309,26.6309,28.3206,29.6645,29.6645,28.6437,29.4681,29.4681,424.1008,424.1025,,
425.6532,29.2969,,,,,,,,,,,,80.5612,80.588,,,,,,31.8824,31.439,31.439,61.0252,59.6368,59.6368,49.8104,48.7392,48.7392,40.8334,40.1726,40.1726,424.2529,424.2531,,
425.8056,29.2969,,,,,,,,,,,,83.1029,82.9693,,,,,,29.8172,30.7196,30.7196,48.9536,52.1355,52.1355,41.4135,43.0769,43.0769,35.8892,36.8389,36.8389,424.3987,424.3988,,
425.958,29.2969,,,,,,,,,,,,89.2423,89.0646,,,,,,19.6129,19.8757,19.8757,26.607,27.6241,27.6241,29.408,29.7478,29.7478,29.6712,29.7862,29.7862,424.5507,424.5499,,
426.1104,29.2969,,,,,,,,,,,,87.2719,85.1537,,,,,,12.9497,13.7099,13.7099,16.9672,17.9683,17.9683,20.0493,21.0611,21.0611,22.7891,23.5508,23.5508,424.6956,424.6919,,
426.2628,29.2969,,,,,,,,,,,,74.0666,74.7457,,,,,,22.8568,22.2008,22.2008,30.4171,29.5432,29.5432,31.7219,30.8147,30.8147,32.5276,31.733,31.733,424.8446,424.8459,,
426.4152,29.2969,,,,,,,,,,,,79.428,79.0125,,,,,,22.3605,23.0445,23.0445,29.8677,30.7786,30.7786,28.392,29.6028,29.6028,28.978,30.0901,30.0901,424.9917,424.9889,,
426.5676,29.2969,,,,,,,,,,,,76.3294,75.9745,,,,,,16.0637,17.3005,17.3005,23.5884,25.4562,25.4562,25.6752,27.0535,27.0535,27.7064,28.6376,28.6376,425.1394,425.1401,,
426.72,29.2969,,,,,,,,,,,,71.1377,71.8305,,,,,,25.1607,23.2218,23.2218,35.4307,32.5086,32.5086,33.6899,31.7436,31.7436,32.398,31.159,31.159,425.2868,425.2888,,
426.8724,29.2969,,,,,,,,,,,,68.4675,69.26,,,,,,16.9508,17.6746,17.6746,25.9943,26.0741,26.0741,28.2207,27.9747,27.9747,28.6658,28.5641,28.5641,425.4437,425.4456,,
427.0248,29.2969,,,,,,,,,,,,72.1404,72.0283,,,,,,25.9005,26.4007,26.4007,39.0393,38.7177,38.7177,36.293,36.2071,36.2071,34.6358,34.4021,34.4021,425.5728,425.5705,,
427.1772,29.2969,,,,,,,,,,,,75.7913,75.9475,,,,,,40.5882,38.789,38.789,45.5754,43.971,43.971,39.5035,38.4084,38.4084,34.4994,34.0527,34.0527,425.7353,425.7355,,
427.3296,29.2969,,,,,,,,,,,,82.6896,81.0151,,,,,,14.9213,16.6955,16.6955,20.905,22.2137,22.2137,22.9485,23.8642,23.8642,25.0865,25.5605,25.5605,425.8778,425.8771,,
427.482,29.2969,,,,,,,,,,,,71.9462,72.6646,,,,,,12.5711,12.6921,12.6921,18.9023,18.9619,18.9619,21.8153,21.9846,21.9846,24.9034,24.9771,24.9771,426.0289,426.0298,,
427.6344,29.2969,,,,,,,,,,,,71.6295,71.1674,,,,,,14.1981,14.2278,14.2278,20.5715,20.9055,20.9055,25.3403,25.4332,25.4332,27.3969,27.5569,27.5569,426.1738,426.1738,,
427.7868,29.2969,,,,,,,,,,,,75.7707,74.616,,,,,,15.3304,15.3731,15.3731,26.8368,26.5928,26.5928,28.1402,28.229,28.229,31.0711,31.0816,31.0816,426.3252,426.3258,,
427.9392,29.2969,,,,,,,,,,,,71.5807,72.7771,,,,,,16.6395,16.6964,16.6964,29.7209,29.576,29.576,30.8796,30.882,30.882,33.0279,32.8922,32.8922,426.4705,426.4677,,
428.0916,29.2969,,,,,,,,,,,,77.4683,77.2894,,,,,,17.8693,17.6832,17.6832,27.4415,27.4303,27.4303,31.3063,31.2016,31.2016,30.9202,30.8974,30.8974,426.6186,426.621,,
428.244,29.3144,,,,,,,,,,,,77.2796,77.4048,,,,,,12.2283,12.4502,12.4502,18.8306,19.438,19.438,23.1428,23.8139,23.8139,24.4848,24.9953,24.9953,426.766,426.7641,,
428.3964,29.7947,,,,,,,,,,,,79.6272,78.8891,,,,,,9.8993,10.0278,10.0278,19.6464,19.9489,19.9489,25.0788,25.3705,25.3705,26.345,26.4624,26.4624,426.9142,426.9172,,
428.5488,29.9072,,,,,,,,,,,,73.8283,73.8504,,,,,,10.545,10.3117,10.3117,24.4082,23.6489,23.6489,29.6206,28.8429,28.8429,29.4133,28.8298,28.8298,427.061,427.0612,,
428.7012,29.9072,,,,,,,,,,,,74.093,71.4543,,,,,,8.0941,8.0731,8.0731,19.3964,19.272,19.272,24.2967,24.0936,24.0936,25.4908,25.2851,25.2851,427.214,427.2137,,
428.8536,29.9072,,,,,,,,,,,,77.0238,76.493,,,,,,6.7297,6.9349,6.9349,16.259,17.3334,17.3334,21.7928,23.1784,23.1784,23.3671,24.3054,24.3054,427.3556,427.3555,,
429.006,29.9072,,,,,,,,,,,,73.8918,74.4633,,,,,,9.5846,9.5791,9.5791,33.7287,33.7456,33.7456,44.6311,44.1031,44.1031,38.3505,37.6457,37.6457,427.5078,427.5052,,
429.1584,29.9072,,,,,,,,,,,,74.6319,73.6948,,,,,,11.2707,11.2089,11.2089,40.8392,40.1751,40.1751,48.8143,48.2452,48.2452,39.1357,38.8589,38.8589,427.6524,427.6514,,
429.3108,29.9072,,,,,,,,,,,,71.0488,73.5924,,,,,,11.8186,12.3178,12.3178,36.098,39.5544,39.5544,43.6315,46.7145,46.7145,36.0513,37.6054,37.6054,427.7994,427.7998,,
429.4632,29.9072,,,,,,,,,,,,89.1292,87.3317,,,,,,17.6784,17.1789,17.1789,64.4934,62.3213,62.3213,63.8861,62.0713,62.0713,45.3454,44.4627,44.4627,427.9486,427.9473,,
429.6156,29.9072,,,,,,,,,,,,82.232,82.6386,,,,,,12.381,12.889,12.889,27.5865,30.4191,30.4191,30.7459,32.8515,32.8515,29.5861,30.489,30.489,428.0977,428.1023,,
429.768,29.9072,,,,,,,,,,,,78.4021,78.2832,,,,,,9.6877,9.8724,9.8724,17.6248,18.2272,18.2272,20.7768,21.4034,21.4034,22.1221,22.6373,22.6373,428.238,428.2317,,
