DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
69.647,,8.5,21.628,,,,,,,,,,,,,,0.898,,
69.799,,8.5,25.233,,,,,,,,,,,,,,0.983,,
69.952,,8.5,20.796,,,,,,,,,,,,,,0.907,,
70.104,,8.5,21.951,,,,,,,,,,,,,,0.735,,
70.256,,8.5,22.69,,,,,,,,,,,,,,0.709,,
70.409,3.789,8.5,22.783,,,0.296,,,,,,,,,,,0.893,0.051,
70.561,3.766,8.5,23.559,,,0.287,,,,,,,,,,,1.047,0.051,
70.714,3.789,8.5,25.972,,0.419,0.284,,,,,,,,0.18,8.629,2.181,0.946,0.051,
70.866,3.789,8.5,23.476,,0.419,0.284,,,,,,,,0.18,8.629,2.181,0.843,0.051,
71.018,3.789,8.5,27.728,,0.419,0.288,,,,,,,,0.18,8.629,2.181,0.894,0.051,
71.171,3.789,8.5,25.001,,0.419,0.282,,,,,,,,0.18,8.629,2.181,0.985,0.051,
71.323,3.766,8.5,26.562,,0.419,0.281,,,,,,,,0.18,8.629,2.181,0.81,0.051,
71.476,3.789,8.5,32.811,,0.419,0.295,,,,,,,,0.18,8.629,2.181,0.765,0.051,
71.628,3.789,8.5,38.033,,0.419,0.284,,,,,,,,0.18,8.629,2.181,0.745,0.051,
71.78,3.789,8.5,41.314,,0.419,0.282,,,,,,,,0.18,8.629,2.181,0.81,0.051,
71.933,3.766,8.5,43.377,,0.428,0.291,,,,,,,,0.182,8.733,2.184,0.756,0.051,
72.085,3.789,8.5,41.083,,0.425,0.287,,,,,,,,0.187,8.903,2.181,0.63,0.051,
72.238,3.789,8.5,41.545,,0.423,0.29,,,,,,,,0.19,8.928,2.193,0.513,0.051,
72.39,3.778,8.5,43.705,,0.412,0.291,,,,,,,,0.189,8.742,2.198,0.5,0.051,
72.542,3.789,8.5,46.213,,0.402,0.28,,,,,,,,0.185,8.737,2.185,0.534,0.051,
72.695,3.778,8.5,38.947,,0.393,0.282,,,,,,,,0.183,8.614,2.174,0.623,0.051,
72.847,3.789,8.5,45.843,,0.409,0.286,,,,,,,,0.18,8.642,2.18,0.802,0.051,
73.0,3.789,8.5,43.533,,0.413,0.286,,,,,,,,0.175,8.698,2.178,0.812,0.051,
