DEPT,GR
575.5,74.3865
576.0,75.7875
576.5,73.9835
577.0,75.7713
577.5,76.7901
578.0,76.2425
578.5,76.6315
579.0,78.0921
579.5,77.2458
580.0,79.3336
580.5,76.6765
581.0,77.9066
581.5,78.3541
582.0,77.727
582.5,75.8742
583.0,79.3948
583.5,81.7431
584.0,79.7726
584.5,74.9004
585.0,79.265
585.5,78.7022
586.0,77.3858
586.5,82.1341
587.0,80.9483
587.5,77.2003
588.0,79.7296
588.5,79.0349
589.0,75.6366
589.5,78.1234
590.0,79.8647
590.5,80.0176
591.0,76.883
591.5,75.4807
592.0,75.2765
592.5,77.7719
593.0,80.0375
593.5,82.3557
594.0,81.5926
594.5,81.6007
595.0,78.8893
595.5,78.6905
596.0,79.4275
596.5,81.2543
597.0,78.8375
597.5,77.1602
598.0,78.1504
598.5,81.2741
599.0,82.1275
599.5,82.3933
600.0,79.7074
600.5,77.5466
601.0,76.5135
601.5,77.804
602.0,81.1889
602.5,76.4685
603.0,79.6783
603.5,77.616
604.0,77.1727
604.5,77.6373
605.0,75.8856
605.5,76.6059
606.0,76.7044
606.5,78.8818
607.0,79.7975
607.5,81.033
608.0,79.4719
608.5,79.174
609.0,79.2154
609.5,78.6301
610.0,80.3676
610.5,78.6245
611.0,79.2517
611.5,79.5699
612.0,79.5626
612.5,78.701
613.0,79.7457
613.5,81.475
614.0,81.4126
614.5,79.7722
615.0,78.1815
615.5,77.0732
616.0,77.5074
616.5,79.118
617.0,79.8914
617.5,81.9121
618.0,80.952
618.5,80.5864
619.0,74.7349
619.5,78.1563
620.0,80.6907
620.5,80.921
621.0,77.7129
621.5,77.3455
622.0,81.5261
622.5,83.9091
623.0,77.1574
623.5,76.3839
624.0,81.6192
624.5,81.1464
625.0,83.2077
625.5,80.7221
626.0,76.6536
626.5,79.1979
627.0,74.8309
627.5,77.3323
628.0,77.2755
628.5,80.6794
629.0,80.5525
629.5,78.5012
630.0,76.6566
630.5,75.6412
631.0,79.3368
631.5,75.0391
632.0,75.3016
632.5,79.158
633.0,77.1627
633.5,76.2192
634.0,77.1504
634.5,77.291
635.0,77.7796
635.5,79.5468
636.0,80.2671
636.5,79.9332
637.0,78.4038
637.5,81.0091
638.0,79.7495
638.5,77.8845
639.0,74.6337
639.5,76.235
640.0,75.8834
640.5,76.4446
641.0,74.0006
641.5,74.6036
642.0,75.366
642.5,77.2255
643.0,76.9786
643.5,74.3528
644.0,79.7482
644.5,77.2146
645.0,76.4252
645.5,77.0702
646.0,79.7745
646.5,77.3334
647.0,78.5692
647.5,79.5898
648.0,79.4686
648.5,78.0485
649.0,79.5229
649.5,72.4589
650.0,66.5638
650.5,51.6445
651.0,50.0787
651.5,50.5944
652.0,51.8058
652.5,51.6179
653.0,53.7819
653.5,55.5731
654.0,61.2096
654.5,69.3567
655.0,71.5503
655.5,71.4703
656.0,69.0828
656.5,71.643
657.0,72.5556
657.5,70.5948
658.0,72.3813
658.5,70.4346
659.0,70.9297
659.5,72.4531
660.0,74.766
660.5,72.6117
661.0,72.2517
661.5,73.8795
662.0,72.6255
662.5,70.3126
663.0,73.6734
663.5,70.1431
664.0,72.5556
664.5,70.503
665.0,72.3255
665.5,71.8123
666.0,74.6883
666.5,74.9173
667.0,72.8256
667.5,72.8131
668.0,74.2742
668.5,71.2681
669.0,72.9545
669.5,72.0312
670.0,71.2437
670.5,72.8425
671.0,70.149
671.5,68.7365
672.0,72.1629
672.5,68.9274
673.0,72.6218
673.5,69.0094
674.0,67.9231
674.5,74.0836
675.0,74.908
675.5,71.6518
676.0,73.1809
676.5,71.4091
677.0,73.747
677.5,75.0765
678.0,72.5071
678.5,61.3558
679.0,57.8176
679.5,55.0355
680.0,54.5613
680.5,56.5935
681.0,63.1117
681.5,62.9726
682.0,62.0203
682.5,60.7471
683.0,59.3992
683.5,59.7701
684.0,53.2935
684.5,52.7838
685.0,56.1552
685.5,63.9254
686.0,63.3036
686.5,66.3058
687.0,66.8413
687.5,62.2064
688.0,65.7579
688.5,70.1874
689.0,68.1166
689.5,60.7157
690.0,62.6511
690.5,70.2964
691.0,74.8942
691.5,78.6706
692.0,78.8927
692.5,80.4027
693.0,75.2992
693.5,75.2707
694.0,77.4084
694.5,81.1182
695.0,75.0801
695.5,76.6142
696.0,75.9731
696.5,79.0271
697.0,79.547
697.5,74.9926
698.0,75.9593
698.5,78.4173
699.0,80.4995
699.5,76.819
700.0,76.4147
700.5,80.2514
701.0,80.9814
701.5,79.2808
702.0,79.7745
702.5,79.1568
703.0,82.0835
703.5,82.6886
704.0,76.5691
704.5,80.605
705.0,76.9564
705.5,76.4584
706.0,75.3585
706.5,77.4515
707.0,75.8573
707.5,78.5478
708.0,77.3464
708.5,78.5624
709.0,81.9323
709.5,79.872
710.0,80.9838
710.5,81.3434
711.0,76.3132
711.5,79.364
712.0,79.7141
712.5,78.5829
713.0,77.263
713.5,74.8809
714.0,77.8964
714.5,76.8767
715.0,77.8991
715.5,76.8722
716.0,76.4478
716.5,71.2342
717.0,72.1395
717.5,72.7291
718.0,76.8824
718.5,78.2198
719.0,79.1312
719.5,78.3991
720.0,75.2701
720.5,76.6012
721.0,77.5012
721.5,73.8204
722.0,73.3043
722.5,75.8545
723.0,75.9745
723.5,77.7879
724.0,79.4639
724.5,78.9038
725.0,77.7839
725.5,73.4154
726.0,76.8545
726.5,75.1708
727.0,77.0829
727.5,76.4508
728.0,73.8718
728.5,75.6522
729.0,73.4196
729.5,71.5121
730.0,65.2913
730.5,62.3875
731.0,54.0749
731.5,53.4833
732.0,59.7055
732.5,75.044
733.0,72.9079
733.5,71.5751
734.0,70.6555
734.5,72.7169
