DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,HP01,HP02,BIT
1721.7,50.206796,3343.133077,114.515356,0.28528,9.064427,0.050001,2.482737,3.41731,87.370465,93.670549,3.673544,5.105373,4.940929,5.088911,5.05942,5.03986,0.146495,0.058813,5.138467,5.118584,8.5
1721.8,50.236443,3348.037808,115.767999,0.28763,9.031506,0.048213,2.479186,3.398214,87.372308,93.680229,3.657165,5.16735,5.0871,5.159342,5.144968,5.135413,0.14556,0.057878,5.183412,5.173767,8.5
1721.9,50.220072,3366.274718,116.193556,0.28801,9.006636,0.047871,2.47953,3.379002,87.357554,93.656544,3.647743,5.175173,5.157802,5.173443,5.170334,5.168265,0.145003,0.057321,5.178637,5.176558,8.5
1722.0,50.208541,3370.668642,116.637845,0.2866,8.997036,0.048919,2.483678,3.355421,87.372728,93.596795,3.654135,5.242319,5.250194,5.243101,5.244509,5.245448,0.144929,0.057248,5.240755,5.241693,8.5
1722.1,50.159914,3365.764199,117.009528,0.282823,9.00215,0.050143,2.487746,3.332776,87.410313,93.510936,3.680956,5.253185,5.242008,5.252073,5.250072,5.248739,0.145236,0.057554,5.255412,5.254075,8.5
1722.2,50.196041,3350.665966,117.00171,0.278827,9.016094,0.050403,2.488187,3.304861,87.465053,93.40246,3.722685,5.177698,5.12231,5.172179,5.162261,5.155662,0.145611,0.057929,5.188758,5.182119,8.5
1722.3,50.185354,3341.307161,116.59814,0.277013,9.02533,0.048868,2.482732,3.283132,87.496919,93.292869,3.765133,5.110272,4.998642,5.09912,5.079111,5.065818,0.145643,0.057961,5.132654,5.119212,8.5
1722.4,50.206334,3357.047485,117.042435,0.278017,9.018024,0.046517,2.473856,3.272819,87.480054,93.205318,3.792999,5.143449,4.982642,5.127355,5.098514,5.079378,0.145088,0.057407,5.175792,5.156362,8.5
1722.5,50.250552,3367.71981,118.444183,0.278648,8.990826,0.044393,2.464773,3.268418,87.405287,93.065645,3.800549,5.195641,5.003378,5.17638,5.141891,5.119026,0.144026,0.056344,5.234378,5.211101,8.5
1722.6,50.22423,3365.657472,118.93367,0.278466,8.95189,0.044109,2.461073,3.26831,87.295794,92.957199,3.786158,5.27416,5.059009,5.252595,5.214001,5.18843,0.142855,0.055174,5.317556,5.291476,8.5
1722.7,50.248757,3367.762027,118.239589,0.277633,8.917818,0.045753,2.463796,3.278731,87.189213,92.858666,3.762472,5.347954,5.103985,5.323481,5.279711,5.250732,0.142001,0.054319,5.39724,5.367614,8.5
1722.8,50.222826,3365.615443,117.999175,0.277942,8.898456,0.048568,2.470881,3.294848,87.126733,92.818521,3.725475,5.326251,5.041064,5.297596,5.246407,5.212559,0.141607,0.053926,5.384029,5.349287,8.5
1722.9,50.219875,3367.803868,118.570042,0.278048,8.893193,0.050559,2.477233,3.308226,87.130784,92.834156,3.689786,5.184229,4.846209,5.150177,5.089449,5.049366,0.141507,0.053825,5.253016,5.211634,8.5
1723.0,50.244943,3362.006955,119.817538,0.279102,8.892152,0.050855,2.480764,3.320402,87.195576,92.879386,3.667555,5.07797,4.674319,5.037153,4.964514,4.916675,0.141436,0.053754,5.160605,5.110863,8.5
1723.1,50.230408,3362.962522,121.006803,0.28117,8.888712,0.050373,2.48303,3.347797,87.308067,92.855356,3.676981,5.107171,4.651795,5.061012,4.978974,4.925024,0.141296,0.053614,5.200759,5.144403,8.5
1723.2,50.247649,3357.041582,122.062917,0.284965,8.883335,0.049448,2.483424,3.37931,87.452959,92.839402,3.691414,5.258196,4.789299,5.210666,5.126192,5.070639,0.141153,0.053471,5.35456,5.296532,8.5
1723.3,50.236831,3354.492188,123.403135,0.288528,8.879729,0.048399,2.482081,3.400964,87.629861,92.804737,3.723725,5.282296,4.862754,5.239867,5.164356,5.114624,0.141099,0.053417,5.368192,5.316487,8.5
1723.4,50.249575,3354.492188,125.36249,0.291744,8.879985,0.048107,2.480889,3.425172,87.813317,92.679488,3.768026,5.280103,4.949826,5.246826,5.187465,5.148271,0.141105,0.053423,5.347301,5.306878,8.5
1723.5,50.196945,3354.492188,127.088489,0.294805,8.880091,0.049695,2.482042,3.466137,87.992823,92.590857,3.83922,5.297787,5.077347,5.275684,5.236142,5.209954,0.141102,0.05342,5.342287,5.31554,8.5
1723.6,50.24942,3358.18175,129.009826,0.29912,8.879783,0.052872,2.485507,3.500637,88.09535,92.574242,3.909061,5.308846,5.175044,5.295488,5.271534,5.255628,0.141118,0.053436,5.33567,5.319559,8.5
