DEPTH,BS,DI_HRLT,DPH8,DSO8,DT,EHGR_EDTC,HCAL,HDRA,HGR,HGR_EDTC,HMIN,HMNO,HNPO,HTEM,HTNP,PEF8,PEM8,REMS,RHO8,RLA0,RLA1,RLA2,RLA3,RLA4,RLA5,RM_HRLT,ROM8,RO_HILT,RSO8,RT,RT_HRLT,RXO8,RXO_HRLT,SP,SPHI,TENS,TNPH
1149.858,8.5,26.0923,0.26433,-0.002835,103.3624,75.3581,8.6868,-0.0041,87.9866,75.3221,1.2519,1.1071,0.325,39.5983,0.3206,2.5634,1.4935,0.162828,2.258,0.128627,6.1604,9.7427,11.5877,12.4817,13.6477,0.136434,1.9332,8.1202,0.000479,18.1725,18.1083,1.5765,2.447,-231.5653,0.286416,1309.1829,0.3199
1150.0104,8.5,26.1421,0.265167,-0.008611,103.2976,77.9856,8.6623,-0.0043,84.5788,77.9468,1.2377,1.0938,0.3161,39.5983,0.3163,2.4787,1.4967,0.1628,2.2566,0.128598,6.1172,9.5614,11.3368,12.2116,13.3466,0.136432,1.6256,8.2933,0.0001,17.7229,17.6823,1.556,2.467,-231.7108,0.286204,1310.3329,0.3152
1150.1628,8.5,26.2051,0.271247,0.014115,103.584,72.1053,8.6807,-0.0047,78.07,72.0459,1.2296,1.0867,0.3226,39.5983,0.3201,2.5137,1.493,0.1628,2.2462,0.128069,6.2206,9.7451,11.5685,12.47,13.6276,0.13634,1.9825,8.1322,0.0001,18.1421,18.075,1.5459,2.5095,-231.3657,0.287134,1308.6744,0.319
1150.3152,8.5,26.2681,0.277326,0.036841,103.8705,66.2249,8.6992,-0.0051,71.5611,66.145,1.2216,1.0796,0.3292,39.5983,0.3238,2.5486,1.4894,0.1628,2.2358,0.12754,6.3241,9.9288,11.8003,12.7283,13.9086,0.136248,2.3393,7.9712,0.0001,18.5614,18.4677,1.5357,2.5521,-231.0206,0.288064,1307.0161,0.3229
1150.4676,8.5,26.3311,0.283406,0.059567,104.157,60.3446,8.7177,-0.0055,65.0523,60.244,1.2135,1.0725,0.3357,39.5983,0.3275,2.5835,1.4858,0.1628,2.2254,0.127011,6.4275,10.1125,12.032,12.9867,14.1896,0.136156,2.6962,7.8101,0.0001,18.9806,18.8604,1.5255,2.5946,-230.6756,0.288994,1305.3577,0.3268
1150.62,8.5,26.1359,0.274867,0.06486,103.6246,64.5602,8.7068,-0.006,64.7549,64.3969,1.2471,1.1188,0.3316,39.5983,0.3207,2.6255,1.485,0.1628,2.24,0.129571,6.6232,10.4644,12.3888,13.356,14.5644,0.137339,2.7696,8.1124,0.006695,19.2764,19.3447,1.6307,2.6411,-230.9311,0.287228,1304.4435,0.3198
1150.7724,8.5,25.8709,0.262382,0.065447,102.8711,71.5018,8.6881,-0.0065,66.1346,71.2643,1.292,1.1796,0.3247,39.5983,0.3111,2.6692,1.4851,0.1628,2.2613,0.132964,6.8439,10.8617,12.7795,13.7551,14.9646,0.138867,2.7664,8.5398,0.01507,19.5389,19.8538,1.7671,2.6887,-231.3488,0.284735,1303.7303,0.3099
1150.9248,8.5,25.6059,0.249896,0.066033,102.1176,78.4434,8.6693,-0.007,67.5143,78.1316,1.3368,1.2404,0.3177,39.5983,0.3015,2.713,1.4851,0.1628,2.2826,0.136358,7.0646,11.2589,13.1701,14.1543,15.3647,0.140394,2.7633,8.9672,0.023445,19.8014,20.3629,1.9035,2.7363,-231.7664,0.282242,1303.0171,0.3001
1151.0772,8.5,25.6566,0.249332,0.066699,102.1496,80.3331,8.6767,-0.007,69.0007,79.9705,1.3209,1.2307,0.3137,39.5983,0.2978,2.7018,1.4851,0.1628,2.2836,0.13583,7.1019,11.1711,13.0422,13.9984,15.1726,0.140462,2.7664,9.0994,0.026299,19.4913,20.0793,1.8988,2.8034,-232.2128,0.282336,1305.929,0.2955
1151.2296,8.5,26.0147,0.260381,0.067442,102.9467,77.3019,8.7095,-0.0066,70.591,76.911,1.246,1.1526,0.3126,39.5983,0.2998,2.637,1.4851,0.1628,2.2647,0.131482,6.9607,10.6107,12.4092,13.3017,14.4036,0.139107,2.7756,8.9441,0.023775,18.6235,19.0235,1.7568,2.8896,-232.6872,0.28495,1312.3719,0.2962
1151.382,8.5,26.3729,0.271429,0.068184,103.7438,74.2707,8.7423,-0.0061,72.1814,73.8516,1.171,1.0744,0.3114,39.5983,0.3019,2.5722,1.4851,0.1628,2.2458,0.127134,6.8195,10.0504,11.7762,12.6049,13.6345,0.137752,2.7848,8.7887,0.021252,17.7557,17.9677,1.6148,2.9758,-233.1616,0.287564,1318.8151,0.2968
1151.5344,8.5,26.583,0.280607,0.066331,104.4444,72.7128,8.7765,-0.0057,73.8978,72.243,1.1223,1.0201,0.3129,39.5983,0.3048,2.5259,1.485,0.1628,2.2301,0.123893,6.707,9.6636,11.3189,12.1117,13.083,0.136749,2.7891,8.5957,0.017977,17.1564,17.2124,1.5094,3.019,-233.3311,0.289853,1321.1147,0.2991
1151.6868,8.5,26.2856,0.283371,0.055576,104.8145,76.2086,8.8152,-0.0054,76.0469,75.6112,1.1638,1.0475,0.3235,39.5983,0.3108,2.5432,1.485,0.1628,2.2254,0.124447,6.6929,9.8726,11.4645,12.3163,13.2778,0.136951,2.7768,8.2735,0.012125,17.4782,17.4879,1.5294,2.9147,-232.4543,0.29103,1309.202,0.3073
1151.8392,8.5,25.9881,0.286136,0.044821,105.1845,79.7044,8.8539,-0.0051,78.1959,78.9793,1.2052,1.0749,0.334,39.5983,0.3169,2.5605,1.485,0.1628,2.2207,0.125001,6.6787,10.0815,11.61,12.521,13.4725,0.137153,2.7645,7.9514,0.006274,17.8001,17.7634,1.5494,2.8103,-231.5776,0.292208,1297.2893,0.3155
1151.9916,8.5,25.6906,0.2889,0.034065,105.5546,83.2003,8.8926,-0.0048,80.345,82.3475,1.2467,1.1024,0.3446,39.5983,0.3229,2.5778,1.485,0.1628,2.216,0.125555,6.6645,10.2904,11.7556,12.7256,13.6673,0.137356,2.7522,7.6292,0.000423,18.122,18.0389,1.5694,2.7059,-230.7009,0.293385,1285.3766,0.3237
1152.144,8.5,25.7717,0.284659,0.019829,105.5824,79.1834,8.887,-0.0056,78.2128,78.376,1.2463,1.1015,0.3321,39.5983,0.3288,2.5979,1.4893,0.1628,2.2233,0.12487,6.7091,10.2455,11.7751,12.6796,13.6325,0.136743,2.3335,7.5817,0.0001,18.0554,17.9895,1.567,2.7612,-230.9341,0.293493,1292.2452,0.3263
