TVD,GR,ROP
165.0492,71.086,21.4307
165.2016,71.7547,22.3343
165.354,71.2332,22.5752
165.5064,71.5033,22.8601
165.6588,74.0626,23.7364
165.8112,73.2106,22.8819
165.9636,73.9065,22.9689
166.116,73.7243,22.3774
166.2684,73.4242,22.7473
166.4208,73.9227,22.5042
166.5732,74.3013,22.7191
166.7256,73.8899,22.9238
166.878,74.318,23.1093
167.0304,73.4495,23.5767
167.1828,73.492,23.316
167.3352,73.1214,24.0129
167.4876,72.8269,24.2035
167.64,71.4746,24.2448
167.7924,71.6748,23.7764
167.9448,73.8908,24.6126
168.0972,73.7863,25.8133
168.2496,74.1378,25.1642
168.402,74.7896,24.805
168.5544,72.0872,23.9529
168.7068,71.4216,23.4054
168.8592,71.7559,23.3502
169.0116,72.2404,24.1587
169.164,73.0832,23.7782
169.3164,74.8625,23.6904
169.4688,74.732,23.0103
169.6212,74.6406,23.1833
169.7736,75.0181,21.61
169.926,75.6163,21.3936
170.0784,76.9262,21.7449
170.2308,73.5456,22.1117
170.3832,72.4986,22.4311
170.5356,71.6884,22.581
170.688,71.3735,22.9832
170.8404,73.423,20.2494
170.9928,75.4222,22.2098
171.1452,74.2602,23.8827
171.2976,74.3569,23.2447
171.45,73.4172,24.7799
171.6024,73.8477,25.1563
171.7548,75.7273,21.8948
171.9072,75.5184,22.5336
172.0596,74.2544,22.6
172.212,73.3307,21.1516
172.3644,71.8898,20.5756
172.5168,71.59,19.947
172.6692,73.0486,19.5923
172.8216,72.9786,19.7275
172.974,72.652,19.2109
173.1264,72.3123,19.6486
173.2788,72.8038,19.093
173.4312,72.0955,19.2325
173.5836,73.2546,19.5719
173.736,72.9188,19.7053
173.8884,72.851,19.6235
174.0408,74.4333,19.7849
174.1932,74.3719,19.517
174.3456,75.3859,18.7566
174.498,73.6889,18.3333
174.6504,73.2085,17.5885
174.8028,73.7481,17.488
174.9552,74.9641,16.7924
175.1076,76.7532,17.013
175.26,76.2496,17.3722
175.4124,74.708,16.8114
175.5648,74.2115,17.4944
175.7172,73.979,17.8571
175.8696,76.5886,16.9617
176.022,78.253,17.4529
176.1744,77.9359,17.8256
176.3268,78.4223,17.5001
176.4792,77.0455,18.4481
176.6316,76.2281,18.4738
176.784,75.1859,18.1239
176.9364,73.3296,18.6945
177.0888,71.5625,19.2087
177.2412,70.9154,19.5174
177.3936,70.8471,21.4003
177.546,71.8028,24.0185
177.6984,73.0404,25.1663
177.8508,72.6938,27.5757
178.0032,74.2281,28.318
178.1556,74.7996,27.2159
178.308,74.6128,26.0189
178.4604,75.9179,24.1781
178.6128,75.4931,22.182
178.7652,75.02,21.0002
178.9176,74.8709,20.6433
179.07,74.1659,20.5508
179.2224,75.9186,20.9331
179.3748,75.9782,21.0731
179.5272,76.767,20.3338
179.6796,76.0485,19.9849
179.832,73.6487,20.0327
179.9844,73.2239,19.3962
180.1368,72.1142,19.8526
180.2892,70.4911,19.1084
180.4416,73.0468,22.9346
180.594,73.9937,29.8747
180.7464,74.0901,31.0717
180.8988,76.0208,32.0808
181.0512,75.4162,32.7992
181.2036,73.9346,23.0251
181.356,73.9808,21.6611
181.5084,73.8955,21.7543
181.6608,73.663,22.0132
181.8132,72.2106,21.3353
181.9656,71.9829,21.0267
182.118,73.0094,20.7854
182.2704,72.9572,19.9407
182.4228,73.2584,19.6833
182.5752,74.5002,19.4461
182.7276,73.8743,19.9585
182.88,75.1705,20.8603
183.0324,76.2239,20.8007
183.1848,75.0869,20.8295
183.3372,76.3479,20.6421
183.4896,76.8664,20.3976
183.642,75.6202,21.3136
183.7944,75.2111,20.998
183.9468,73.8456,21.2262
184.0992,72.1928,19.7689
184.2516,73.3055,18.842
184.404,73.8331,19.1399
184.5564,76.0439,19.9002
184.7088,74.918,20.0777
184.8612,76.6513,20.8613
185.0136,77.5039,21.1614
185.166,78.3255,20.6849
185.3184,80.1223,20.5998
185.4708,78.7721,20.8886
