DEPT,BS,CALI,DSOZ,RT,DT,TENS:1,PEFZ,RSOZ,TNPH:1,RLA2,RLA4,GR:1,GR:2,RLA3,RLA5,TENS:2,NPHI,SP,RLA1,GR:3,RXO,RHOZ,RLA0,RXOZ,GR:4,TNPH:2
1499.768,8.5,8.09,0.035,6.284,97.672,3638.6,3.017,0.082,0.291,4.182,4.854,99.69,98.371,4.538,5.168,3629.001,0.321,,3.546,115.481,2.172,2.354,0.098,2.131,110.579,0.291
1499.921,8.5,8.137,0.036,6.587,95.944,3608.624,3.044,0.087,0.314,4.391,5.184,103.159,110.486,4.846,5.511,3612.001,0.323,,3.932,105.341,2.499,2.363,0.099,2.163,104.823,0.314
1500.073,8.5,8.223,0.047,5.667,89.518,3581.6,3.098,0.089,0.292,3.755,4.491,105.384,101.025,4.192,4.769,3585.001,0.292,,3.458,93.956,2.249,2.397,0.098,2.266,98.854,0.292
1500.226,8.5,8.223,0.094,6.599,80.06,3592.267,3.209,0.096,0.239,4.28,5.096,101.577,104.861,4.739,5.415,3586.0,0.237,,3.716,98.133,2.317,2.488,0.1,3.257,95.278,0.238
1500.378,8.5,8.325,0.127,12.704,69.402,3559.868,3.334,0.085,0.181,7.997,9.564,97.454,99.938,8.881,10.186,3567.001,0.189,,6.556,94.823,3.765,2.582,0.103,7.885,95.487,0.181
1500.53,8.5,8.372,0.138,17.526,64.988,3521.938,3.391,0.083,0.159,10.984,13.099,88.533,87.706,12.289,13.932,3503.499,0.159,,8.866,94.141,4.969,2.63,0.104,37.033,92.013,0.159
1500.683,8.5,8.294,0.095,22.042,72.377,3579.001,3.319,0.072,0.164,13.644,16.324,83.463,77.003,15.324,17.389,3561.5,0.187,,10.808,86.693,5.81,2.569,0.108,14.479,89.686,0.164
1500.835,8.5,8.254,0.055,7.356,82.173,3630.799,3.182,0.061,0.212,5.21,5.845,85.547,85.515,5.563,6.211,3633.0,0.24,,4.531,88.537,2.759,2.473,0.105,3.604,93.049,0.212
1500.988,8.5,8.121,0.027,4.106,91.995,3674.934,3.066,0.054,0.262,3.033,3.397,89.319,92.945,3.244,3.604,3651.333,0.295,,2.825,103.438,1.943,2.387,0.104,2.289,95.875,0.262
1501.14,8.5,8.137,0.044,4.872,95.531,3691.125,3.037,0.068,0.301,3.552,4.013,90.855,89.131,3.814,4.266,3691.999,0.321,,3.313,95.564,2.256,2.373,0.104,1.887,93.583,0.3
1501.292,8.5,8.137,0.065,5.224,95.318,3625.067,3.048,0.084,0.309,3.937,4.375,87.905,89.411,4.169,4.638,3641.001,0.309,,3.692,81.279,2.577,2.385,0.104,2.569,88.767,0.308
1501.445,8.5,8.168,0.067,6.649,94.703,3568.867,3.046,0.073,0.298,4.999,5.462,89.265,84.299,5.186,5.788,3536.667,0.303,,4.448,88.967,2.857,2.389,0.104,2.378,88.451,0.297
1501.597,8.5,8.137,0.059,5.124,94.571,3591.134,3.025,0.066,0.304,3.925,4.17,94.636,94.02,4.017,4.391,3594.0,0.298,,3.348,93.617,2.108,2.382,0.1,2.302,94.692,0.303
1501.75,8.5,8.16,0.063,5.035,98.436,3601.134,3.028,0.061,0.306,3.748,4.052,100.323,105.648,3.964,4.276,3617.0,0.301,,3.235,100.833,2.063,2.387,0.099,1.995,100.949,0.305
1501.902,8.5,8.215,0.081,5.253,98.73,3615.532,3.074,0.073,0.305,3.856,4.245,106.481,102.062,4.207,4.463,3598.333,0.305,,3.425,108.397,2.221,2.41,0.099,2.228,108.574,0.303
1502.054,8.5,8.309,0.088,5.428,97.803,3687.375,3.131,0.086,0.3,3.977,4.41,109.128,111.648,4.375,4.606,3705.499,0.31,,3.563,117.794,2.317,2.425,0.099,2.449,115.395,0.299
1502.207,8.5,8.36,0.098,5.558,97.661,3655.933,3.17,0.099,0.3,4.104,4.538,111.599,113.252,4.427,4.71,3676.0,0.307,,3.633,120.832,2.348,2.434,0.099,2.489,117.692,0.299
