DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
780.288,8.5,8.545,104.693,-6.238,5.624,13.457,17.76,2.327,0.364,2.999,113.047
780.44,8.5,8.56,104.66,-6.575,5.422,12.564,16.511,2.324,0.341,2.997,112.908
780.593,8.5,8.607,105.355,-6.125,5.463,12.676,16.715,2.323,0.33,2.997,112.911
780.745,8.5,8.607,109.062,-5.708,5.549,13.242,17.554,2.323,0.33,2.999,112.775
780.898,8.5,8.654,108.437,-5.0,5.598,13.494,17.906,2.326,0.337,2.988,112.594
781.05,8.5,8.678,109.774,-4.0,5.575,13.528,17.953,2.324,0.362,2.957,112.679
781.202,8.5,8.69,110.414,-3.575,5.518,13.523,17.971,2.325,0.351,2.925,112.772
781.355,8.5,8.654,112.642,-3.513,5.6,14.052,18.724,2.325,0.331,2.916,112.632
781.507,8.5,8.678,106.615,-3.196,5.706,14.572,19.494,2.33,0.32,2.924,112.463
781.66,8.5,8.725,107.682,-3.096,5.651,14.729,19.782,2.328,0.321,2.932,112.478
781.812,8.5,8.702,103.1,-2.305,5.532,14.382,19.324,2.324,0.351,2.926,112.775
781.964,8.5,8.666,112.073,-2.067,5.31,13.364,17.887,2.314,0.375,2.889,112.92
782.117,8.5,8.654,111.064,-1.888,5.283,13.235,17.667,2.309,0.357,2.84,112.461
782.269,8.5,8.678,112.273,-1.737,5.293,13.096,17.402,2.312,0.332,2.803,111.888
782.422,8.5,8.827,109.567,-1.712,5.287,12.991,17.167,2.328,0.316,2.813,111.275
782.574,8.5,8.878,106.444,-1.413,5.37,13.721,18.132,2.343,0.317,2.857,111.11
782.726,8.5,8.819,106.671,-1.188,5.498,14.255,18.82,2.346,0.331,2.895,111.877
782.879,8.5,8.913,106.274,-1.05,5.426,14.04,18.48,2.34,0.356,2.913,111.506
783.031,8.5,9.007,109.95,-0.633,5.512,14.258,18.69,2.332,0.38,2.895,111.608
783.184,8.5,8.945,113.342,-0.254,5.576,14.462,18.946,2.326,0.348,2.879,111.697
783.336,8.5,8.929,110.553,0.017,5.475,14.081,18.475,2.326,0.339,2.878,111.395
783.488,8.5,8.949,104.039,0.175,5.475,14.017,18.415,2.316,0.322,2.898,111.917
783.641,8.5,8.878,100.907,0.204,5.432,14.01,18.349,2.313,0.339,2.903,112.062
783.793,8.5,8.937,107.603,0.304,5.35,14.372,18.792,2.311,0.325,2.887,111.796
783.946,8.5,8.725,112.127,0.192,5.307,15.132,19.598,2.325,0.326,2.884,111.273
784.098,8.5,8.662,112.13,0.393,5.316,15.605,19.928,2.338,0.315,2.892,111.036
784.25,8.5,8.607,107.517,1.192,5.271,15.893,19.862,2.341,0.321,2.896,110.151
784.403,8.5,8.619,104.478,1.513,5.267,16.174,20.144,2.336,0.307,2.867,109.226
784.555,8.5,8.553,101.506,1.633,5.352,16.501,20.702,2.328,0.286,2.839,108.965
784.708,8.5,8.502,100.423,1.8,5.759,17.062,21.641,2.324,0.277,2.824,108.643
784.86,8.5,8.537,101.19,1.793,6.369,17.104,21.828,2.326,0.291,2.844,108.561
785.012,8.5,8.529,99.68,1.938,6.888,16.702,21.337,2.339,0.311,2.918,108.046
