DEPT,ROP,GR
129.3876,0.4721,15.5353
129.54,0.4929,16.9242
129.6924,0.4868,22.3351
129.8448,0.4352,29.1038
129.9972,0.3507,36.636
130.1496,0.3187,41.2222
130.302,0.3336,42.4434
130.4544,0.3139,43.0839
130.6068,0.2717,43.4286
130.7592,0.2297,44.2797
130.9116,0.2031,45.5785
131.064,0.2029,46.8991
131.2164,0.2216,46.8676
131.3688,0.2297,46.7739
131.5212,0.2378,47.4934
131.6736,0.2459,47.7131
131.826,0.254,47.4162
131.9784,0.2622,48.0
132.1308,0.2703,48.9192
132.2832,0.2784,49.0511
132.4356,0.2865,49.9333
132.588,0.2946,49.5818
132.7404,0.2988,49.4568
132.8928,0.285,48.8264
133.0452,0.279,49.3708
133.1976,0.2927,48.5144
133.35,0.2983,49.8571
133.5024,0.2972,48.8049
133.6548,0.3052,47.6932
133.8072,0.3175,49.2848
133.9596,0.3275,50.3216
134.112,0.3284,50.5503
134.2644,0.3179,53.4243
134.4168,0.3112,51.4027
134.5692,0.3101,48.8486
134.7216,0.3122,48.0
134.874,0.3143,49.177
135.0264,0.3025,50.7559
135.1788,0.2879,52.3349
135.3312,0.2913,53.9138
135.4836,0.2925,54.0
135.636,0.2862,53.6306
135.7884,0.2944,52.4231
135.9408,0.3041,51.2156
136.0932,0.3022,50.9798
136.2456,0.3053,50.8409
136.398,0.307,50.4375
136.5504,0.3049,50.75
136.7028,0.3125,51.074
136.8552,0.3057,51.4168
137.0076,0.2905,51.7595
137.16,0.2891,52.1023
137.3124,0.2906,52.445
137.4648,0.2929,52.7877
137.6172,0.2897,53.1305
137.7696,0.2744,53.4732
137.922,0.2787,53.816
138.0744,0.2958,54.1587
138.2268,0.3035,54.5014
138.3792,0.2984,54.8442
138.5316,0.2909,54.1819
138.684,0.2859,53.5
138.8364,0.293,52.5451
138.9888,0.299,51.8167
139.1412,0.3082,50.9
139.2936,0.413,50.4
139.446,0.616,50.6431
139.5984,0.7463,50.4182
