DEPT,TENS,CALI,BS,GR:1,GR:2,GR:3,PEFZ,RLA5,RLA0,RLA2,RXOZ,TNPH:1,RSOZ,RLA3,TNPH:2,RT,DT,RLA1,RXO,RLA4,NPHI,GR:4,RHOZ
1159.307,2372.0,8.622,8.5,99.309,87.353,98.241,2.533,26.067,0.09,8.416,0.929,0.328,0.0,15.324,0.325,36.529,123.354,3.633,1.222,20.68,0.311,86.799,2.238
1159.459,2352.001,8.631,8.5,99.047,83.144,95.68,2.497,25.693,0.09,8.251,0.927,0.323,0.0,15.295,0.322,36.164,124.406,3.638,1.231,20.416,0.301,85.482,2.239
1159.612,2365.75,8.631,8.5,101.021,85.497,103.854,2.498,23.862,0.087,7.794,0.949,0.319,0.0,14.366,0.318,33.396,123.902,3.44,1.154,18.889,0.303,77.123,2.23
1159.764,2401.812,8.612,8.5,105.534,90.077,104.823,2.499,23.246,0.087,7.756,0.956,0.324,0.0,13.991,0.324,32.385,124.073,3.417,1.154,18.328,0.319,93.817,2.228
1159.916,2398.374,8.618,8.5,106.236,92.863,109.183,2.531,22.749,0.087,7.727,0.979,0.329,0.0,13.653,0.329,31.522,124.807,3.365,1.132,17.903,0.326,99.382,2.226
1160.069,2388.267,8.618,8.5,106.707,93.859,104.727,2.586,22.357,0.088,7.834,1.003,0.335,0.0,13.518,0.335,30.988,124.313,3.471,1.197,17.601,0.336,85.363,2.229
1160.221,2395.0,8.622,8.5,102.884,93.229,106.226,2.639,21.425,0.09,7.839,1.0,0.354,0.0,13.041,0.354,29.756,124.514,3.598,1.3,16.885,0.318,96.844,2.242
1160.374,2354.624,8.65,8.5,106.727,94.545,97.802,2.671,21.984,0.091,7.985,1.08,0.332,0.0,13.291,0.332,30.709,123.162,3.705,1.366,17.353,0.32,97.627,2.256
1160.526,2440.688,8.669,8.5,109.543,95.23,116.118,2.692,23.103,0.092,8.258,1.101,0.331,0.0,13.839,0.332,32.486,121.066,3.872,1.455,18.236,0.317,89.161,2.261
1160.678,2484.0,8.65,8.5,112.065,93.96,114.537,2.698,22.704,0.091,7.958,1.24,0.326,0.0,13.488,0.327,32.25,121.12,3.846,1.494,17.915,0.318,98.811,2.246
1160.831,2430.823,8.631,8.5,109.622,92.398,106.208,2.657,26.51,0.092,8.68,1.177,0.319,0.0,15.236,0.32,38.151,121.666,4.206,1.652,20.807,0.317,94.232,2.236
1160.983,2462.625,8.631,8.5,105.496,91.104,108.87,2.594,24.734,0.092,8.018,1.099,0.317,0.0,13.978,0.318,35.651,123.316,3.92,1.572,19.284,0.311,84.819,2.236
