DEPTH,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
149.2,12.25,,48.302,,,,,,,
149.352,12.25,,44.349,,,,,,,
149.504,12.25,,42.746,,,,,,,
149.657,12.25,,44.994,,,,,,,
149.809,12.25,,47.385,,,,,,,
149.962,12.25,,47.639,,,,,,,
150.114,12.25,,47.08,,,,,,,
150.266,12.25,,46.348,,,,,,,
150.419,12.25,,46.512,,,,,,,
150.571,12.25,,45.234,,,,,,,
150.724,12.25,,44.285,,,,,,,
150.876,12.25,,44.023,,,,,,,
151.028,12.25,,48.012,,,,,,,
151.181,12.25,,56.372,,,,,,,
151.333,12.25,,62.423,,,,,,,
151.486,12.25,,63.193,,,,,,,
151.638,12.25,,60.389,,,,,,,
151.79,12.25,,56.277,,,,,,,
151.943,12.25,,53.205,,,,,,,
152.095,12.25,,52.562,,,,,,,
152.248,12.25,,51.427,,,,,,,
152.4,12.25,,52.708,,,,,,,
152.552,12.25,,51.377,,,,,,,
152.705,12.25,,51.854,,,,,,,
152.857,12.25,,55.002,,,,,,,
153.01,12.25,,58.413,,,,,,,
153.162,12.25,,58.509,,,,,,,
153.314,12.25,,52.28,,,,,,,
153.467,12.25,,50.273,,,,,,,
153.619,12.25,,52.167,,,,,,,
153.772,12.25,,51.757,,,,,,,
153.924,12.25,,49.153,,,,,,,
154.076,12.25,,49.606,,,,,,,
154.229,12.25,,53.323,,,,,,,
154.381,12.25,,55.805,,,,,,,
154.534,12.25,,54.32,,,,,,,
154.686,12.25,,53.014,,,,,,,
154.838,12.25,,55.126,,,,,,,
154.991,12.25,,59.103,,,,,,,
155.143,12.25,,61.772,,,,,,,
155.296,12.25,,64.874,,,,,,,
155.448,12.25,,66.273,,,,,,,
155.6,12.25,,63.884,,,,,,,
155.753,12.25,,58.747,,,,,,,
155.905,12.25,,53.527,,,,,,,
156.058,12.25,,50.408,,,,,,,
156.21,12.25,,49.677,,,,,,,
156.362,12.25,,53.433,,,,,,,
156.515,12.25,,55.275,,,,,,,
156.667,12.25,,52.481,,,,,,,
156.82,12.25,,48.172,,,,,,,
156.972,12.25,,47.394,,,,,,,
157.124,12.25,,46.855,,,,,,,
157.277,12.25,,44.755,,,,,,,
157.429,12.25,,43.62,,,,,,,
157.582,12.25,,43.469,,,,,,,
157.734,12.25,,43.351,,,,,,,
157.886,12.25,,45.972,,,,,,,
158.039,12.25,,50.234,,,,,,,
158.191,12.25,,53.407,,,,,,,
158.344,12.25,,53.826,,,,,,,
158.496,12.25,,53.84,,,,,,,
158.648,12.25,,53.735,,,,,,,
158.801,12.25,,50.966,,,,,,,
158.953,12.25,,47.095,,,,,,,
159.106,12.25,,45.846,,,,,,,
159.258,12.25,,48.342,,,,,,,
159.41,12.25,,51.499,,,,,,,
159.563,12.25,,52.867,,,,,,,
159.715,12.25,,50.108,,,,,,,
159.868,12.25,,48.939,,,,,,,
160.02,12.25,,50.256,,,,,,,
160.172,12.25,,52.96,,,,,,,
160.325,12.25,,52.794,,,,,,,
160.477,12.25,,50.901,,,,,,,
160.63,12.25,,51.359,,,,,,,
160.782,12.25,,55.796,,,,,,,
160.934,12.25,,58.115,,,,,,,
161.087,12.25,,55.427,,,,,,,
161.239,12.25,,50.506,,,,,,,
161.392,12.25,,46.046,,,,,,,
161.544,12.25,,45.427,,,,,,,
161.696,12.25,,46.613,,,,,,,
161.849,12.25,,49.059,,,,,,,
162.001,12.25,,50.631,,,,,,,
162.154,12.25,,51.76,,,,,,,
162.306,12.25,,55.429,,,,,,,
162.458,12.25,,58.591,,,,,,,
162.611,12.25,,56.076,,,,,,,
162.763,12.25,,49.886,,,,,,,
162.916,12.25,,43.56,,,,,,,
163.068,12.25,,44.308,,,,,,,
163.22,12.25,,47.942,,,,,,,
163.373,12.25,,49.046,,,,,,,
163.525,12.25,,47.551,,,,,,,
163.678,12.25,,47.247,,,,,,,
163.83,12.25,,51.116,,,,,,,
163.982,12.25,,54.833,,,,,,,
164.135,12.25,,54.534,,,,,,,
164.287,12.25,,54.393,,,,,,,
164.44,12.25,,55.804,,,,,,,
164.592,12.25,,58.486,,,,,,,
164.744,12.25,,58.343,,,,,,,
164.897,12.25,,54.314,,,,,,,
165.049,12.25,,50.551,,,,,,,
165.202,12.25,,50.204,,,,,,,
165.354,12.25,,51.322,,,,,,,
165.506,12.25,,52.08,,,,,,,
165.659,12.25,,52.407,,,,,,,
165.811,12.25,,52.864,,,,,,,
165.964,12.25,,52.934,,,,,,,
166.116,12.25,,52.399,,,,,,,
166.268,12.25,,52.175,,,,,,,
166.421,12.25,,53.263,,,,,,,
166.573,12.25,,51.817,,,,,,,
166.726,12.25,,51.2,,,,,,,
166.878,12.25,,52.253,,,,,,,
167.03,12.25,,53.429,,,,,,,
167.183,12.25,,52.933,,,,,,,
167.335,12.25,,50.296,,,,,,,
167.488,12.25,,49.287,,,,,,,
167.64,12.25,,50.712,,,,,,,
167.792,12.25,,53.252,,,,,,,
167.945,12.25,,56.663,,,,,,,
168.097,12.25,,55.966,,,,,,,
168.25,12.25,,50.501,,,,,,,
168.402,12.25,,45.009,,,,,,,
168.554,12.25,,44.76,,,,,,,
168.707,12.25,,46.844,,,,,,,
168.859,12.25,,45.745,,,,,,,
169.012,12.25,,40.492,,,,,,,
169.164,12.25,,38.252,,,,,,,
169.316,12.25,,41.445,,,,,,,
169.469,12.25,,48.362,,,,,,,
169.621,12.25,,51.602,,,,,,,
169.774,12.25,,49.677,,,,,,,
169.926,12.25,,46.431,,,,,,,
170.078,12.25,,44.55,,,,,,,
170.231,12.25,,45.576,,,,,,,
170.383,12.25,,46.424,,,,,,,
170.536,12.25,,46.023,,,,,,,
170.688,12.25,,47.549,,,,,,,
170.84,12.25,,51.876,,,,,,,
170.993,12.25,,56.456,,,,,,,
171.145,12.25,,56.368,,,,,,,
171.298,12.25,,54.46,,,,,,,
171.45,12.25,,53.764,,,,,,,
171.602,12.25,,53.663,,,,,,,
171.755,12.25,,51.764,,,,,,,
171.907,12.25,,48.522,,,,,,,
172.06,12.25,,47.039,,,,,,,
172.212,12.25,,47.321,,,,,,,
172.364,12.25,,50.635,,,,,,,
172.517,12.25,,53.022,,,,,,,
172.669,12.25,,53.592,,,,,,,
172.822,12.25,,52.482,,,,,,,
172.974,12.25,,50.317,,,,,,,
173.126,12.25,,50.419,,,,,,,
173.279,12.25,,53.069,,,,,,,
173.431,12.25,,54.908,,,,,,,
173.584,12.25,,52.402,,,,,,,
173.736,12.25,,46.347,,,,,,,
173.888,12.25,,41.516,,,,,,,
174.041,12.25,,37.799,,,,,,,
174.193,12.25,,38.446,,,,,,,
174.346,12.25,,42.636,,,,,,,
174.498,12.25,,45.982,,,,,,,
174.65,12.25,,47.247,,,,,,,
174.803,12.25,,47.957,,,,,,,
174.955,12.25,,50.002,,,,,,,
175.108,12.25,,49.92,,,,,,,
175.26,12.25,,48.196,,,,,,,
175.412,12.25,,47.806,,,,,,,
175.565,12.25,,48.656,,,,,,,
175.717,12.25,,49.28,,,,,,,
175.87,12.25,,50.886,,,,,,,
176.022,12.25,,54.473,,,,,,,
