wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-A10,Clean,300.076,8.5,8.455,2.224,0.014,133.202,116.013,0.42,2.944,25.18,21.812,11.557,-117.787,300.066
Cheal-A10,Clean,300.228,8.5,8.409,2.239,0.01,133.289,114.488,0.424,2.977,24.352,21.126,11.366,-117.984,300.218
Cheal-A10,Clean,300.38,8.5,8.421,2.208,0.007,133.446,112.845,0.4,2.94,23.533,20.388,10.973,-118.162,300.37
Cheal-A10,Clean,300.533,8.5,8.432,2.198,0.004,133.476,111.811,0.392,2.783,24.227,20.906,11.03,-118.333,300.523
Cheal-A10,Clean,300.685,8.5,8.524,2.216,0.004,133.245,113.923,0.388,2.897,25.815,22.251,11.664,-118.196,300.675
Cheal-A10,Clean,300.838,8.5,8.624,2.216,0.012,132.586,113.689,0.393,2.978,24.455,21.024,11.592,-118.371,300.828
Cheal-A10,Clean,300.99,8.5,8.47,2.205,0.025,131.844,113.432,0.399,3.026,23.228,19.93,11.041,-118.475,300.98
Cheal-A10,Clean,301.142,8.5,8.754,2.232,0.033,131.811,112.024,0.401,2.823,25.028,21.418,11.697,-117.992,301.132
Cheal-A10,Clean,301.295,8.5,8.493,2.212,0.025,132.119,113.432,0.404,2.725,28.864,24.649,12.337,-117.742,301.285
Cheal-A10,Clean,301.447,8.5,8.559,2.189,0.01,132.126,112.259,0.416,2.733,28.685,24.573,12.506,-117.658,301.437
Cheal-A10,Clean,301.6,8.5,8.708,2.189,0.004,132.429,111.672,0.428,2.823,27.9,23.987,12.521,-116.84,301.59
Cheal-A10,Clean,301.752,8.5,8.501,2.197,0.007,132.728,112.845,0.433,2.962,29.76,25.547,13.375,-116.404,301.742
Cheal-A10,Clean,301.904,8.5,8.892,2.212,0.009,133.036,116.144,0.408,2.859,29.802,25.65,13.921,-117.025,301.894
Cheal-A10,Clean,302.057,8.5,8.931,2.237,0.006,133.21,116.848,0.428,2.788,28.438,24.397,13.697,-117.742,302.047
Cheal-A10,Clean,302.209,8.5,8.984,2.235,0.002,133.333,115.91,0.408,2.859,28.806,24.628,14.251,-118.529,302.199
Cheal-A10,Clean,302.362,8.5,8.973,2.229,0,132.841,111.086,0.413,2.912,28.011,23.981,14.478,-119.129,302.352
Cheal-A10,Clean,302.514,8.5,8.961,2.229,0,132.072,108.505,0.407,2.87,27.08,23.351,14.585,-119.433,302.504
Cheal-A10,Clean,302.666,8.5,8.95,2.23,0.003,131.319,110.031,0.406,3.069,28.388,24.514,15.135,-119.675,302.656
Cheal-A10,Clean,302.819,8.5,8.892,2.233,0.005,131.346,110.382,0.403,3.029,28.814,24.997,15.31,-120.033,302.809
Cheal-A10,Clean,302.971,8.5,8.915,2.221,0.012,132.117,114.722,0.401,2.911,29.117,25.385,15.512,-120.454,302.961
Cheal-A10,Clean,303.124,8.5,8.754,2.23,0.015,132.372,113.805,0.414,2.926,31.647,27.669,16.385,-120.729,303.114
Cheal-A10,Clean,303.276,8.5,8.697,2.234,0.02,132.743,116.269,0.39,3.085,29.32,25.588,15.665,-121.058,303.266
Cheal-A10,Clean,303.428,8.5,8.616,2.207,0.016,132.7,112.398,0.404,2.863,23.391,20.601,13.587,-121.479,303.418
Cheal-A10,Clean,303.581,8.5,8.57,2.216,0.013,132.295,116.012,0.424,2.923,26.064,22.941,14.45,-121.725,303.571
Cheal-A10,Clean,303.733,8.5,8.605,2.225,0.009,132.816,119.532,0.448,3.06,29.364,25.877,15.788,-121.779,303.723
Cheal-A10,Clean,303.886,8.5,8.754,2.231,0.016,133.238,117.537,0.434,2.704,27.187,24.076,15.54,-122.121,303.876
Cheal-A10,Clean,304.038,8.5,8.927,2.233,0.032,133.393,109.678,0.408,2.861,28.853,25.55,16.428,-122.367,304.028
Cheal-A10,Clean,304.19,8.5,8.846,2.206,0.038,133.512,110.851,0.423,2.693,28.665,25.387,16.868,-122.475,304.18
Cheal-A10,Clean,304.343,8.5,8.858,2.229,0.03,133.091,111.672,0.391,2.868,29.688,26.275,17.3,-122.45,304.333
Cheal-A10,Clean,304.495,8.5,8.739,2.209,0.011,132.736,116.137,0.379,2.932,25.104,22.337,15.949,-122.5,304.485
Cheal-A10,Clean,304.648,8.5,8.777,2.206,0.003,133.132,110.389,0.362,2.733,24.769,22.019,15.976,-122.037,304.638
Cheal-A10,Clean,304.8,8.5,8.808,2.199,0.002,133.893,111.327,0.347,2.853,27.698,24.592,17.106,-121.775,304.79
Cheal-A10,Clean,304.952,8.5,8.961,2.206,0.014,135.055,115.074,0.359,2.958,30.656,27.304,18.237,-121.696,304.942
Cheal-A10,Clean,305.105,8.5,8.858,2.223,0.018,135.516,114.957,0.386,2.937,31.742,28.339,17.782,-121.696,305.095
Cheal-A10,Clean,305.257,8.5,8.854,2.193,0.019,135.21,112.611,0.451,3.049,29.853,26.469,17.104,-121.658,305.247
Cheal-A10,Clean,305.41,8.5,8.624,2.186,0.01,134.356,110.382,0.445,3.033,27.504,24.275,16.147,-121.613,305.4
Cheal-A10,Clean,305.562,8.5,8.486,2.224,0.008,133.573,112.244,0.413,2.952,26.301,23.141,15.299,-121.758,305.552
Cheal-A10,Clean,305.714,8.5,8.47,2.234,0.007,133.673,118.696,0.385,2.952,25.649,22.491,14.521,-121.808,305.704
Cheal-A10,Clean,305.867,8.5,8.44,2.221,0.004,134.021,117.665,0.368,2.77,25.802,22.563,14.014,-121.835,305.857
Cheal-A10,Clean,306.019,8.5,8.409,2.222,0.003,133.9,119.535,0.389,2.836,28.094,24.487,14.572,-121.613,306.009
Cheal-A10,Clean,306.172,8.5,8.559,2.224,0.004,133.543,122.115,0.392,2.913,30.168,26.264,15.07,-121.4,306.162
Cheal-A10,Clean,306.324,8.5,8.547,2.235,0.003,132.921,116.929,0.4,2.799,30.337,26.539,14.911,-121.217,306.314
Cheal-A10,Clean,306.476,8.5,8.455,2.217,0.003,132.521,115.309,0.386,2.751,30.223,26.41,14.856,-120.821,306.466
Cheal-A10,Clean,306.629,8.5,8.578,2.224,0.001,132.942,111.907,0.387,2.785,28.858,25.152,14.293,-120.746,306.619
Cheal-A10,Clean,306.781,8.5,8.47,2.215,0.002,133.156,120.353,0.381,2.754,25.889,22.679,12.979,-120.654,306.771
Cheal-A10,Clean,306.934,8.5,8.455,2.236,0.005,133.034,116.474,0.378,2.835,28.251,24.642,13.312,-119.884,306.924
Cheal-A10,Clean,307.086,8.5,8.578,2.219,0.006,132.44,118.586,0.394,2.925,30.819,26.705,14.3,-119.829,307.076
Cheal-A10,Clean,307.238,8.5,8.624,2.204,0.005,132.557,115.888,0.435,2.932,28.835,24.97,13.64,-120.1,307.228
Cheal-A10,Clean,307.391,8.5,8.639,2.211,0.001,132.817,118.828,0.442,2.83,25.56,22.285,12.841,-120.458,307.381
Cheal-A10,Clean,307.543,8.5,8.708,2.221,0,133.007,113.784,0.447,2.843,29.894,26.027,13.997,-120.496,307.533
Cheal-A10,Clean,307.696,8.5,8.697,2.222,0,133.465,113.784,0.409,2.82,28.783,25.122,13.801,-120.156,307.686
Cheal-A10,Clean,307.848,8.5,8.747,2.22,0,133.411,117.772,0.402,2.853,23.704,20.873,12.577,-119.742,307.838
Cheal-A10,Clean,308,8.5,8.754,2.229,0,134.271,117.537,0.383,2.843,27.889,24.378,13.56,-119.762,307.99
Cheal-A10,Clean,308.153,8.5,8.724,2.219,0,133.995,116.489,0.404,2.825,28.414,24.86,13.846,-119.613,308.143
Cheal-A10,Clean,308.305,8.5,8.708,2.22,-0.002,133.653,112.266,0.385,2.804,27.14,23.723,13.848,-119.654,308.295
Cheal-A10,Clean,308.458,8.5,8.708,2.223,-0.002,133.809,116.371,0.396,2.907,28.184,24.558,14.179,-119.904,308.448
Cheal-A10,Clean,308.61,8.5,8.697,2.215,-0.001,134.142,115.308,0.398,2.826,26.127,22.804,13.372,-120.192,308.6
Cheal-A10,Clean,308.762,8.5,8.685,2.208,0,134.401,114.84,0.444,2.916,26.159,22.927,13.041,-120.429,308.752
Cheal-A10,Clean,308.915,8.5,8.685,2.202,-0.001,134.641,120.47,0.432,2.923,25.412,22.336,13.028,-120.442,308.905
Cheal-A10,Clean,309.067,8.5,8.662,2.2,-0.001,134.49,119.766,0.427,2.916,28.425,24.698,14.148,-120.092,309.057
Cheal-A10,Clean,309.22,8.5,8.655,2.212,0,133.91,120.118,0.388,2.778,27.427,23.79,13.983,-120.333,309.21
Cheal-A10,Clean,309.372,8.5,8.632,2.21,0.002,133.66,111.123,0.388,2.874,28.483,24.59,13.759,-120.688,309.362
