wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-G3,Clean,1818.8,8.5,8.458,2.45,0.038,90.928,117.292,0.332,3.397,4.761,4.829,4.991,-150.13,1746.2
Cheal-G3,Clean,1818.9,8.5,8.403,2.444,0.038,90.698,115.662,0.339,3.409,4.71,4.792,4.988,-150.154,1746.3
Cheal-G3,Clean,1819,8.5,8.388,2.436,0.038,90.441,114.229,0.342,3.409,4.852,4.949,5.183,-150.164,1746.4
Cheal-G3,Clean,1819.1,8.5,8.386,2.437,0.041,90.163,111.623,0.337,3.386,5.001,5.111,5.376,-150.17,1746.5
Cheal-G3,Clean,1819.2,8.5,8.386,2.44,0.045,89.937,109.387,0.325,3.374,5.05,5.162,5.436,-150.1,1746.6
Cheal-G3,Clean,1819.3,8.5,8.386,2.451,0.05,89.758,107.009,0.31,3.373,5.123,5.23,5.491,-150.039,1746.7
Cheal-G3,Clean,1819.4,8.5,8.386,2.458,0.052,89.65,108.172,0.297,3.384,5.298,5.398,5.639,-149.938,1746.8
Cheal-G3,Clean,1819.5,8.5,8.385,2.468,0.055,89.567,110.162,0.291,3.388,5.477,5.566,5.778,-149.887,1746.9
Cheal-G3,Clean,1819.6,8.5,8.385,2.47,0.056,89.502,113.717,0.292,3.412,5.431,5.5,5.664,-149.865,1747
Cheal-G3,Clean,1819.7,8.5,8.388,2.47,0.058,89.406,115.05,0.296,3.419,5.45,5.495,5.602,-149.905,1747.1
Cheal-G3,Clean,1819.8,8.5,8.396,2.467,0.061,89.266,116.647,0.299,3.412,5.285,5.311,5.372,-149.996,1747.2
Cheal-G3,Clean,1819.9,8.5,8.412,2.465,0.065,89.03,116.372,0.301,3.407,5.248,5.263,5.3,-150.118,1747.3
Cheal-G3,Clean,1820,8.5,8.437,2.467,0.068,88.732,116.531,0.304,3.417,5.432,5.444,5.473,-150.252,1747.4
Cheal-G3,Clean,1820.1,8.5,8.465,2.473,0.07,88.413,115.858,0.306,3.422,5.655,5.669,5.703,-150.352,1747.5
Cheal-G3,Clean,1820.2,8.5,8.489,2.48,0.069,88.152,116.662,0.309,3.41,5.755,5.78,5.84,-150.523,1747.6
Cheal-G3,Clean,1820.3,8.5,8.503,2.485,0.063,88.002,117.071,0.309,3.393,5.647,5.688,5.785,-150.62,1747.7
Cheal-G3,Clean,1820.4,8.5,8.509,2.487,0.056,88.027,116.575,0.306,3.379,5.18,5.231,5.352,-150.712,1747.8
Cheal-G3,Clean,1820.5,8.5,8.508,2.485,0.047,88.226,114.681,0.301,3.357,4.973,5.032,5.17,-150.809,1747.9
Cheal-G3,Clean,1820.6,8.5,8.5,2.482,0.04,88.53,113.567,0.299,3.341,4.917,4.984,5.143,-150.937,1748
Cheal-G3,Clean,1820.7,8.5,8.491,2.479,0.036,88.864,112.66,0.302,3.334,5.017,5.091,5.269,-151.004,1748.1
Cheal-G3,Clean,1820.8,8.5,8.484,2.479,0.034,89.219,111.929,0.308,3.349,5.053,5.128,5.308,-151.046,1748.2
Cheal-G3,Clean,1820.9,8.5,8.481,2.478,0.032,89.561,111.309,0.314,3.38,5.272,5.344,5.517,-151.104,1748.3
Cheal-G3,Clean,1821,8.5,8.481,2.476,0.03,89.841,111.542,0.316,3.414,5.526,5.593,5.753,-151.135,1748.4
Cheal-G3,Clean,1821.1,8.5,8.483,2.471,0.027,89.935,110.283,0.313,3.44,5.725,5.785,5.927,-151.171,1748.5
Cheal-G3,Clean,1821.2,8.5,8.483,2.466,0.024,89.804,109.643,0.307,3.45,5.773,5.826,5.95,-151.187,1748.6
Cheal-G3,Clean,1821.3,8.5,8.483,2.461,0.02,89.368,108.76,0.304,3.461,5.816,5.864,5.979,-151.254,1748.7
Cheal-G3,Clean,1821.4,8.5,8.473,2.459,0.019,88.686,109.39,0.304,3.458,5.688,5.736,5.851,-151.26,1748.8
Cheal-G3,Clean,1821.5,8.5,8.451,2.456,0.019,87.852,107.703,0.306,3.469,5.487,5.537,5.657,-151.299,1748.9
Cheal-G3,Clean,1821.6,8.5,8.41,2.456,0.022,87.124,107.088,0.309,3.471,5.512,5.567,5.698,-151.269,1749
Cheal-G3,Clean,1821.7,8.5,8.337,2.449,0.025,86.629,105.631,0.313,3.501,5.553,5.612,5.753,-151.314,1749.1
Cheal-G3,Clean,1821.8,8.5,8.248,2.44,0.031,86.459,106.358,0.316,3.522,5.623,5.683,5.827,-151.324,1749.2
Cheal-G3,Clean,1821.9,8.5,8.177,2.428,0.04,86.561,106.859,0.319,3.547,5.613,5.67,5.805,-151.36,1749.3
Cheal-G3,Clean,1822,8.5,8.146,2.422,0.055,86.948,109.645,0.321,3.539,5.503,5.551,5.665,-151.391,1749.4
Cheal-G3,Clean,1822.1,8.5,8.144,2.418,0.07,87.53,112.311,0.322,3.546,5.287,5.322,5.402,-151.482,1749.5
Cheal-G3,Clean,1822.2,8.5,8.143,2.424,0.086,88.256,115.254,0.32,3.55,5.594,5.616,5.666,-151.503,1749.6
Cheal-G3,Clean,1822.3,8.5,8.143,2.433,0.099,88.981,116.806,0.321,3.552,6.061,6.071,6.095,-151.476,1749.7
Cheal-G3,Clean,1822.4,8.5,8.146,2.445,0.107,89.641,118.228,0.324,3.545,6.284,6.285,6.286,-151.384,1749.8
Cheal-G3,Clean,1822.5,8.5,8.151,2.455,0.11,90.064,118.358,0.33,3.551,5.932,5.929,5.921,-151.226,1749.9
Cheal-G3,Clean,1822.6,8.5,8.16,2.462,0.111,90.213,118.636,0.333,3.547,5.552,5.547,5.537,-151.068,1750
Cheal-G3,Clean,1822.7,8.5,8.174,2.464,0.11,90.013,117.485,0.334,3.52,5.468,5.467,5.464,-150.998,1750.1
Cheal-G3,Clean,1822.8,8.5,8.192,2.462,0.111,89.599,116.687,0.328,3.496,5.891,5.893,5.899,-150.989,1750.2
