DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1709.9,49.610235,2844.088543,108.909005,0.27578,8.289057,0.086037,2.457707,3.223219,84.193294,-134.196639,2.548898,5.866983,5.82974,5.805044,5.774322,5.719433,5.683133,5.499462,0.122856,0.035174,8.5
1710.0,49.603645,2861.901398,106.722768,0.277461,8.282828,0.0945,2.455419,3.199114,84.30741,-134.184628,3.099568,5.773624,5.728587,5.698758,5.66169,5.595576,5.551929,5.330967,0.122807,0.035126,8.5
1710.1,49.62518,2865.637309,106.195451,0.279475,8.285766,0.101699,2.450861,3.168867,84.425,-134.195387,3.816323,5.736057,5.68673,5.654082,5.613535,5.541283,5.493632,5.252174,0.123215,0.035533,8.5
1710.2,49.618215,2860.75414,105.529567,0.280938,8.310299,0.105197,2.445361,3.137533,84.532576,-134.200385,4.431497,5.727264,5.673897,5.638595,5.594778,5.516762,5.465358,5.204777,0.124108,0.036426,8.5
1710.3,49.627495,2855.870972,105.410855,0.280737,8.345774,0.103505,2.439438,3.12334,84.59643,-134.242662,4.737471,5.757989,5.699871,5.661453,5.613793,5.529015,5.473209,5.190457,0.125208,0.037526,8.5
1710.4,49.621999,2852.137197,104.955722,0.280179,8.383969,0.097537,2.436358,3.116224,84.601005,-134.278304,4.818936,5.899046,5.838483,5.798455,5.748805,5.660505,5.602393,5.308069,0.12611,0.038429,8.5
1710.5,49.647405,2853.57005,105.224851,0.279464,8.405968,0.087852,2.433965,3.121256,84.523905,-134.286544,4.831568,6.118479,6.06055,6.022237,5.974687,5.890043,5.834283,5.551835,0.12668,0.038998,8.5
1710.6,49.63389,2830.305025,105.610995,0.280269,8.421847,0.078713,2.435028,3.132739,84.399098,-134.308029,4.857619,6.162666,6.113223,6.080484,6.039806,5.967274,5.919406,5.676899,0.126989,0.039308,8.5
1710.7,49.623062,2812.776697,106.12205,0.280825,8.42649,0.073671,2.439739,3.136894,84.250544,-134.309467,4.89212,5.966263,5.927646,5.90204,5.870189,5.813292,5.775669,5.585085,0.127092,0.03941,8.5
1710.8,49.627767,2780.048674,105.690175,0.28164,8.428674,0.074482,2.448816,3.135192,84.12389,-134.317706,4.930136,5.772786,5.742534,5.722454,5.697453,5.652727,5.623105,5.47306,0.1272,0.039518,8.5
1710.9,49.628917,2796.427608,106.249426,0.280771,8.433636,0.077472,2.454681,3.136408,84.074835,-134.299982,4.962165,5.607531,5.581021,5.563418,5.541493,5.502244,5.476233,5.344461,0.127366,0.039684,8.5
1711.0,49.618954,2822.265625,106.88031,0.280484,8.439675,0.081685,2.459933,3.142876,84.160043,-134.311625,4.990373,5.669721,5.640085,5.620414,5.595922,5.552107,5.523089,5.376107,0.127525,0.039843,8.5
1711.1,49.626574,2821.688437,107.464177,0.28082,8.444161,0.084298,2.462485,3.156828,84.387366,-134.341349,5.032426,5.696287,5.659738,5.635503,5.605356,5.5515,5.515885,5.335481,0.127617,0.039936,8.5
1711.2,49.65336,2813.917548,107.071611,0.284149,8.4458,0.085501,2.466651,3.181927,84.643761,-134.362464,5.124138,5.822294,5.776256,5.745768,5.707885,5.640325,5.595732,5.369805,0.127618,0.039937,8.5
1711.3,49.636876,2785.774338,106.739311,0.288636,8.444226,0.083202,2.467256,3.200417,84.794149,-134.365911,5.31813,6.007566,5.951208,5.913931,5.867663,5.785292,5.731023,5.456076,0.127505,0.039823,8.5
1711.4,49.638938,2762.772128,104.712645,0.292647,8.438281,0.080048,2.468118,3.201773,84.683116,-134.408645,5.575523,6.095934,6.032535,5.990635,5.938669,5.846264,5.785461,5.477543,0.127253,0.039571,8.5
1711.5,49.656337,2713.940444,102.123124,0.292416,8.427536,0.078438,2.470657,3.198531,84.263866,-134.385014,5.807083,6.540232,6.472848,6.428312,6.373073,6.274839,6.210193,5.88294,0.126852,0.03917,8.5
1711.6,49.648179,2670.31947,99.545177,0.288028,8.411701,0.079981,2.476023,3.194073,83.569938,-134.367481,5.927158,6.76805,6.708522,6.66913,6.62022,6.533093,6.475653,6.185038,0.126298,0.038617,8.5
1711.7,49.660373,2666.594949,98.123451,0.281021,8.390734,0.081763,2.477578,3.188513,82.787417,-134.35782,5.914255,6.759334,6.720205,6.694254,6.661966,6.604264,6.566094,6.373248,0.125734,0.038052,8.5
1711.8,49.667076,2670.898438,97.152374,0.273849,8.374121,0.082663,2.475738,3.186014,82.104663,-134.360816,5.759378,6.493081,6.486478,6.48209,6.476621,6.466822,6.46032,6.427489,0.125435,0.037754,8.5
1711.9,49.611416,2670.898438,97.131692,0.268194,8.370832,0.082665,2.473099,3.180624,81.712377,-134.327595,5.518953,6.228408,6.254287,6.271605,6.293325,6.332627,6.358976,6.491903,0.125476,0.037794,8.5
1712.0,49.631913,2670.898438,98.06878,0.264159,8.376827,0.081114,2.469534,3.179609,81.666705,-134.359411,5.301766,6.223377,6.27051,6.302131,6.341882,6.414067,6.462647,6.707425,0.12566,0.037979,8.5
1712.1,49.672968,2670.898438,99.633424,0.262652,8.383117,0.076935,2.462601,3.171855,81.972889,-134.357822,5.16801,6.248256,6.300298,6.335233,6.379175,6.459042,6.512841,6.783481,0.125738,0.038057,8.5
1712.2,49.675951,2670.898438,101.656256,0.263505,8.382036,0.072323,2.456334,3.173945,82.490041,-134.363702,5.047318,6.118315,6.162877,6.192766,6.230334,6.298534,6.344418,6.575162,0.125649,0.037968,8.5
1712.3,49.682782,2670.898438,103.78501,0.26833,8.377195,0.069914,2.454411,3.18769,83.141175,-134.349785,4.856372,5.952103,5.983868,6.005141,6.03184,6.080202,6.112663,6.275976,0.125421,0.037739,8.5
1712.4,49.676565,2670.898438,105.811904,0.275674,8.366795,0.070471,2.456908,3.206725,83.792115,-134.361884,4.560534,5.804363,5.823367,5.836072,5.851992,5.880759,5.900018,5.99693,0.124983,0.037301,8.5
1712.5,49.655711,2670.316266,106.163451,0.284533,8.347903,0.071828,2.458791,3.222672,84.42254,-134.330568,4.210894,5.808026,5.820244,5.828405,5.838621,5.857055,5.869377,5.9314,0.124127,0.036445,8.5
1712.6,49.648324,2666.015625,106.02856,0.291704,8.309434,0.074068,2.462302,3.229595,84.943016,-134.316805,3.791164,5.747114,5.759821,5.768309,5.778936,5.798115,5.810937,5.875539,0.122413,0.034731,8.5
1712.7,49.626171,2666.598508,106.059102,0.295542,8.232365,0.075862,2.465938,3.226599,85.378882,-134.315933,3.377934,5.801246,5.817163,5.827799,5.841122,5.865178,5.881271,5.962431,0.119658,0.031976,8.5
1712.8,49.664128,2671.481676,106.985278,0.294892,8.122107,0.075969,2.467895,3.203191,85.709936,-134.323513,2.99638,5.838848,5.854266,5.864567,5.877469,5.900764,5.916346,5.994936,0.116748,0.029066,8.5
1712.9,49.68608,2675.78125,108.706072,0.291847,8.03241,0.073807,2.466438,3.18075,85.952546,-134.277349,2.709801,5.725971,5.736807,5.744043,5.7531,5.769442,5.780362,5.835442,0.114999,0.027317,8.5
1713.0,49.647509,2672.861496,110.799497,0.289803,8.000773,0.071695,2.465678,3.155143,86.09894,-134.25322,2.538912,5.553294,5.55812,5.561339,5.565367,5.572626,5.57747,5.60191,0.115005,0.027324,8.5
1713.1,49.649611,2651.367188,112.896339,0.290338,8.032853,0.069897,2.464132,3.156731,86.123378,-134.246663,2.569111,5.539947,5.539051,5.538454,5.537709,5.536371,5.535479,5.530976,0.11646,0.028778,8.5
1713.2,49.698829,2650.782525,113.08327,0.292114,8.101754,0.068307,2.46003,3.159536,86.045935,-134.19478,2.796692,5.663996,5.654926,5.648889,5.641353,5.627818,5.618815,5.573301,0.118876,0.031195,8.5
1713.3,49.720425,2647.069394,111.301569,0.293021,8.199289,0.06758,2.453334,3.178811,85.862266,-134.168713,3.211389,5.726613,5.706359,5.692898,5.676117,5.646042,5.626085,5.525114,0.12183,0.034148,8.5
1713.4,49.73076,2652.537936,108.88634,0.29141,8.303044,0.070626,2.449845,3.181001,85.62218,-134.175532,3.721491,5.776357,5.743236,5.721262,5.693917,5.64503,5.612677,5.448806,0.124527,0.036845,8.5
1713.5,49.694946,2660.547082,107.631507,0.288033,8.38103,0.077656,2.450586,3.172079,85.338753,-134.185885,4.241894,5.605438,5.55849,5.527413,5.488815,5.420027,5.374655,5.144553,0.126423,0.038741,8.5
1713.6,49.653485,2656.25,106.864022,0.284974,8.429654,0.086466,2.454309,3.138759,85.079594,-134.188692,4.609597,5.405676,5.342233,5.300356,5.248477,5.156386,5.095901,4.788932,0.127702,0.040021,8.5
