DEPT,GR,ROP
152.0952,74.6615,27.7673
152.2476,73.503,29.1128
152.4,73.6507,32.4917
152.5524,72.2761,35.0855
152.7048,72.7861,33.9608
152.8572,75.2142,33.2384
153.0096,76.009,32.4795
153.162,77.6193,32.2565
153.3144,78.9947,30.7848
153.4668,78.5668,31.5163
153.6192,77.2466,30.271
153.7716,76.1113,29.5917
153.924,74.7776,29.1737
154.0764,73.4581,27.4046
154.2288,73.0475,29.974
154.3812,72.9299,29.4345
154.5336,74.7331,29.6357
154.686,75.4748,30.7238
154.8384,76.8096,30.48
154.9908,76.712,30.8153
155.1432,74.1156,32.6326
155.2956,72.5596,32.7786
155.448,72.1826,33.8617
155.6004,72.716,34.0797
155.7528,72.5579,33.7283
155.9052,74.0717,33.7544
156.0576,73.2886,33.6591
156.21,73.5044,32.7812
156.3624,73.5812,31.8851
156.5148,74.0073,31.6286
156.6672,73.1949,31.1445
156.8196,73.0201,31.2725
156.972,72.7777,29.0779
157.1244,70.4559,26.7096
157.2768,71.0221,24.4385
157.4292,72.0237,21.082
157.5816,72.6163,21.2946
157.734,72.521,21.2526
157.8864,71.924,20.2997
158.0388,70.9082,20.3863
158.1912,70.142,20.3863
158.3436,71.9756,20.6815
158.496,73.6229,21.6103
158.6484,74.8134,22.2921
158.8008,74.4614,22.1468
158.9532,74.249,22.0462
159.1056,74.0659,22.2565
159.258,73.4244,22.4577
159.4104,74.5488,22.1193
159.5628,73.8485,22.7555
159.7152,72.8736,22.4333
159.8676,72.5774,21.6669
160.02,72.1472,22.1459
160.1724,72.7214,21.815
160.3248,71.5679,21.6611
160.4772,72.4006,21.59
160.6296,72.3005,21.336
160.782,70.8917,21.6713
160.9344,72.2871,21.4318
161.0868,73.6298,21.3012
161.2392,74.0095,21.6713
161.3916,74.3358,20.0953
161.544,73.6743,26.7691
161.6964,73.0447,27.8378
161.8488,72.0691,28.7
162.0012,74.2067,29.7557
162.1536,74.3585,24.35
162.306,75.7171,23.9862
162.4584,74.5571,24.4236
162.6108,73.5842,24.5495
162.7632,73.0647,25.1155
162.9156,72.2962,24.8543
163.068,73.6091,24.2969
163.2204,72.4892,23.7396
163.3728,72.3369,22.4159
163.5252,72.1201,22.7032
163.6776,70.78,22.2069
163.83,72.0671,22.5291
163.9824,72.9157,24.7323
164.1348,72.5689,22.7381
164.2872,73.7946,22.8077
164.4396,72.9248,22.651
164.592,72.4191,21.6164
164.7444,72.8364,21.1044
164.8968,72.9879,20.9601
165.0492,71.0259,21.3868
165.2016,71.6912,22.3114
165.354,71.2981,22.6263
165.5064,71.5089,22.8234
165.6588,73.8623,23.7378
165.8112,73.234,22.8774
165.9636,73.8036,22.9149
166.116,73.7222,22.3937
166.2684,73.4242,22.7503
166.4208,73.836,22.4211
166.5732,74.4377,22.7555
166.7256,73.906,22.9297
166.878,74.2344,23.1213
167.0304,73.5275,23.5434
167.1828,73.4601,23.3413
167.3352,73.201,23.9669
167.4876,72.8334,24.1198
167.64,71.5092,24.2133
167.7924,71.777,23.8384
167.9448,73.8587,24.6431
168.0972,73.7928,25.908
168.2496,74.0322,25.2897
168.402,74.7771,24.7933
168.5544,72.2673,23.9298
168.7068,71.4089,23.4269
168.8592,71.6938,23.3629
169.0116,72.2022,24.067
169.164,73.0621,23.757
169.3164,74.8625,23.7047
169.4688,74.7696,22.9471
169.6212,74.7201,23.3081
169.7736,74.8708,21.6256
169.926,75.6677,21.4427
170.0784,77.0654,21.7627
170.2308,73.5904,22.1633
170.3832,72.5882,22.3114
170.5356,71.5992,22.54
170.688,71.4099,23.0703
170.8404,73.2869,20.3863
170.9928,75.3415,21.8782
171.1452,74.3496,23.9298
171.2976,74.2871,23.2989
171.45,73.392,24.7345
171.6024,73.7912,25.4813
171.7548,75.6134,21.963
171.9072,75.6204,22.6249
172.0596,74.4527,22.6482
172.212,73.4661,21.1852
172.3644,72.0564,20.6146
172.5168,71.5468,19.9847
172.6692,73.0763,19.5393
172.8216,73.0763,19.8242
172.974,72.6489,19.2808
