TVD,GR,ROP
175.26,73.8227,17.3722
175.4124,73.5513,16.8114
175.5648,73.1631,17.4944
175.7172,73.2054,17.8571
175.8696,76.5411,16.9617
176.022,76.9052,17.4529
176.1744,76.5032,17.8256
176.3268,76.235,17.5001
176.4792,74.9457,18.4481
176.6316,74.1504,18.4738
176.784,71.8862,18.1239
176.9364,68.4746,18.6945
177.0888,67.4286,19.2087
177.2412,67.3531,19.5174
177.3936,67.4408,21.4003
177.546,69.7938,24.0185
177.6984,72.9412,25.1663
177.8508,72.5516,27.5757
178.0032,73.5556,28.318
178.1556,73.528,27.2159
178.308,74.1126,26.0189
178.4604,75.304,24.1781
178.6128,74.3106,22.182
178.7652,74.8634,21.0002
178.9176,75.1111,20.6433
179.07,74.5904,20.5508
179.2224,76.2624,20.9331
179.3748,76.9347,21.0731
179.5272,75.5366,20.3338
179.6796,74.8889,19.9849
179.832,73.7851,20.0327
179.9844,72.6378,19.3962
180.1368,73.1417,19.8526
180.2892,70.7989,19.1084
180.4416,72.2952,22.9346
180.594,74.1077,29.8747
180.7464,73.6,31.0717
180.8988,74.3542,32.0808
181.0512,73.7785,32.7992
181.2036,72.1772,23.0251
181.356,73.2883,21.6611
181.5084,73.2439,21.7543
181.6608,73.2071,22.0132
181.8132,72.9017,21.3353
181.9656,71.9834,21.0267
182.118,72.9987,20.7854
182.2704,72.5643,19.9407
182.4228,72.1518,19.6833
182.5752,73.0,19.4461
182.7276,72.2504,19.9585
182.88,74.2222,20.8603
183.0324,75.2487,20.8007
183.1848,74.0097,20.8295
183.3372,75.6176,20.6421
183.4896,76.1769,20.3976
183.642,74.6402,21.3136
183.7944,73.6208,20.998
183.9468,71.5743,21.2262
184.0992,72.2063,19.7689
184.2516,71.75,18.842
184.404,72.2734,19.1399
184.5564,72.1202,19.9002
184.7088,72.3082,20.0777
184.8612,73.7384,20.8613
185.0136,74.1211,21.1614
185.166,75.0898,20.6849
185.3184,77.034,20.5998
185.4708,76.5406,20.8886
185.6232,75.132,21.258
185.7756,74.73,20.7453
