DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,DSLL,DDLL,SPDL,MRRS,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRL,DPRS,DPRD,BIT
2329.5,51.48843,3442.382813,118.823311,0.295964,8.307481,0.136119,2.481564,3.296445,90.224396,5.442686,5.537919,92.379768,4.111594,0.123826,0.036144,0.278158,0.358429,0.268994,0.133588,0.133588,0.102082,0.20772,8.5
2329.6,51.5205,3442.382813,119.322472,0.296467,8.329673,0.132438,2.481699,3.281228,89.814484,5.443684,5.5486,92.419266,4.119044,0.124409,0.036727,0.278842,0.358896,0.269456,0.13351,0.13351,0.102001,0.207648,8.5
2329.7,51.491829,3437.5,121.110542,0.295929,8.346601,0.1238,2.480343,3.28722,89.261818,5.449745,5.58908,92.397995,4.122817,0.124842,0.037161,0.278498,0.358396,0.268962,0.134303,0.134303,0.102823,0.208373,8.5
2329.8,51.476093,3447.265625,122.509567,0.293299,8.358702,0.113128,2.479296,3.281238,88.618935,5.460468,5.649546,92.46788,4.114507,0.125137,0.037456,0.276135,0.355943,0.266549,0.134915,0.134915,0.103457,0.208933,8.5
2329.9,51.469654,3447.265625,122.905289,0.290692,8.366327,0.104663,2.481828,3.308022,88.042809,5.475639,5.716224,92.519547,4.111147,0.125346,0.037665,0.273761,0.353511,0.264157,0.133434,0.133434,0.101922,0.207578,8.5
2330.0,51.510784,3466.796875,123.249542,0.291516,8.372684,0.099587,2.48533,3.303627,87.647331,5.493461,5.774986,92.498276,4.103565,0.125503,0.037821,0.274606,0.354225,0.264913,0.131386,0.131386,0.0998,0.205706,8.5
2330.1,51.461517,3481.445313,123.610275,0.296166,8.376748,0.098034,2.490023,3.309469,87.507393,5.517364,5.819447,92.534744,4.101075,0.12559,0.037908,0.279051,0.358472,0.269179,0.128641,0.128641,0.096956,0.203196,8.5
2330.2,51.411953,3466.796875,121.921646,0.306296,8.378519,0.097702,2.493286,3.30361,87.654785,5.555848,5.850391,92.595512,4.108207,0.125625,0.037944,0.288661,0.367637,0.278478,0.126734,0.126734,0.094978,0.201452,8.5
2330.3,51.483543,3452.148438,119.41951,0.317772,8.379089,0.097097,2.494751,3.32026,88.081589,5.605786,5.87546,92.543854,4.146731,0.125637,0.037955,0.299531,0.37806,0.289012,0.125877,0.125877,0.09409,0.200668,8.5
2330.4,51.461456,3442.382813,118.179214,0.329276,8.379308,0.095608,2.49439,3.318347,88.651497,5.65804,5.901565,92.549942,4.202109,0.125635,0.037953,0.310402,0.388515,0.299572,0.126088,0.126088,0.094309,0.200861,8.5
2330.5,51.572182,3447.265625,120.381172,0.333079,8.378951,0.094102,2.494483,3.31756,89.220474,5.708622,5.927963,92.635025,4.261294,0.125556,0.037875,0.313955,0.392029,0.303061,0.126033,0.126033,0.094253,0.200811,8.5
2330.6,51.467121,3442.382813,123.041351,0.332399,8.374073,0.092625,2.49499,3.305147,89.673706,5.747357,5.946065,92.647171,4.308639,0.125267,0.037585,0.31321,0.391438,0.302438,0.125737,0.125737,0.093946,0.20054,8.5
2330.7,51.587414,3422.851563,125.294968,0.325663,8.359617,0.090583,2.494242,3.307603,90.016251,5.759724,5.946533,92.580322,4.329206,0.124645,0.036964,0.306681,0.385409,0.296252,0.126174,0.126174,0.094399,0.20094,8.5
2330.8,51.47797,3422.851563,125.638557,0.321133,8.332501,0.087628,2.489882,3.317783,90.196068,5.74307,5.933162,92.58033,4.305724,0.123713,0.036031,0.302185,0.381384,0.292092,0.128724,0.128724,0.097041,0.203272,8.5
2330.9,51.523869,3442.382813,123.490303,0.316465,8.297071,0.08564,2.483532,3.367687,90.236214,5.70486,5.911434,92.543861,4.241515,0.122743,0.035061,0.297537,0.37723,0.287805,0.132437,0.132437,0.10089,0.206667,8.5
2331.0,51.514988,3447.265625,120.296837,0.316423,8.267173,0.086237,2.477086,3.404443,90.11631,5.653286,5.881382,92.489159,4.168011,0.12201,0.034328,0.297269,0.377199,0.287767,0.136207,0.136207,0.104796,0.210115,8.5
