DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,BIT
97.0,30.431958,678.710938,35.439584,0.670945,8.759281,-0.802335,1.467704,14.23319,48.870697,211.527882,0.157779,106323.954366,106323.954366,106323.954366,106323.954366,106323.954366,106323.954366,106323.954366,0.137291,0.049609,12.25
97.1,30.359025,678.71485,35.646721,0.677693,8.75912,-0.801083,1.467322,14.351077,48.908854,212.14476,0.157678,97948.247732,97948.247732,97948.247732,97948.247732,97948.247732,97948.247732,97948.247732,0.137285,0.049603,12.25
97.2,30.434489,683.589825,35.555362,0.688071,8.758906,-0.800605,1.467418,14.439247,48.969424,212.791947,0.157756,93505.2492,93505.2492,93505.2492,93505.2492,93505.2492,93505.2492,93505.2492,0.13728,0.049598,12.25
97.3,30.432669,678.718811,33.591616,0.707788,8.758785,-0.801128,1.467137,14.565403,48.991457,213.381489,0.157952,95735.536172,95735.536172,95735.536172,95735.536172,95735.536172,95735.536172,95735.536172,0.137285,0.049603,12.25
97.4,30.171144,688.472613,33.561413,0.714433,8.759218,-0.802793,1.464498,14.570028,49.012808,214.010506,0.158082,104882.185163,104882.185163,104882.185163,104882.185163,104882.185163,104882.185163,104882.185163,0.137307,0.049626,12.25
97.5,30.327813,683.597711,34.392696,0.709661,8.760225,-0.803753,1.464666,14.584142,49.020561,214.624337,0.158243,106253.624764,106253.624764,106253.624764,106253.624764,106253.624764,106253.624764,106253.624764,0.137339,0.049657,12.25
97.6,30.322011,688.472589,36.19749,0.682792,8.761248,-0.805877,1.462757,14.545094,49.03935,215.274631,0.158235,98995.134074,98995.134074,98995.134074,98995.134074,98995.134074,98995.134074,98995.134074,0.137364,0.049682,12.25
97.7,30.328445,683.597736,37.10625,0.637726,8.761819,-0.807714,1.461609,14.473383,49.046328,215.897523,0.157938,95209.529933,95209.529933,95209.529933,95209.529933,95209.529933,95209.529933,95209.529933,0.137373,0.049692,12.25
97.8,30.330073,688.472564,38.141975,0.585723,8.761854,-0.808022,1.461539,14.428813,49.044526,216.477863,0.157392,97515.850819,97515.850819,97515.850819,97515.850819,97515.850819,97515.850819,97515.850819,0.137377,0.049696,12.25
97.9,30.279601,683.589739,37.926661,0.542278,8.762061,-0.805091,1.466189,14.430839,49.027309,216.985311,0.156886,101530.169548,101530.169548,101530.169548,101530.169548,101530.169548,101530.169548,101530.169548,0.137388,0.049706,12.25
98.0,30.468677,678.718984,36.619723,0.506012,8.762514,-0.798617,1.47594,14.593153,49.003209,217.492746,0.156518,103642.766819,103642.766819,103642.766819,103642.766819,103642.766819,103642.766819,103642.766819,0.137402,0.049721,12.25
98.1,30.361421,688.472527,34.836569,0.476289,8.762993,-0.789955,1.486004,14.615552,48.948309,217.966732,0.15638,98933.165323,98933.165323,98933.165323,98933.165323,98933.165323,98933.165323,98933.165323,0.137414,0.049732,12.25
