DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
95.25,12.25,,33.704,,,,,,,
95.402,12.25,,31.859,,,,,,,
95.555,12.25,,34.924,,,,,,,
95.707,12.25,,34.598,,,,,,,
95.86,12.25,,37.674,,,,,,,
96.012,12.25,,36.462,,,,,,,
96.164,12.25,,36.136,,,,,,,
96.317,12.25,,36.905,,,,,,,
96.469,12.25,,38.423,,,,,,,
96.622,12.25,,37.366,,,,,,,
96.774,12.25,,35.059,,,,,,,
96.926,12.25,,32.138,,,,,,,
97.079,12.25,,32.445,,,,,,,
97.231,12.25,,33.061,,,,,,,
97.384,12.25,,34.752,,,,,,,
97.536,12.25,,32.462,,,,,,,
97.688,12.25,,32.89,,,,,,,
97.841,12.25,,34.581,,,,,,,
97.993,12.25,,36.309,,,,,,,
98.146,12.25,,33.539,,,,,,,
98.298,12.25,,33.813,,,,,,,
98.45,12.25,,35.521,,,,,,,
98.603,12.25,,35.847,,,,,,,
98.755,12.25,,32.89,,,,,,,
98.908,12.25,,31.2,,,,,,,
99.06,12.25,,32.001,,,,,,,
99.212,12.25,,33.505,,,,,,,
99.365,12.25,,32.583,,,,,,,
99.517,12.25,,31.046,,,,,,,
99.67,12.25,,30.139,,,,,,,
99.822,12.25,,31.216,,,,,,,
99.974,12.25,,34.291,,,,,,,
100.127,12.25,,36.444,,,,,,,
100.279,12.25,,37.808,,,,,,,
100.432,12.25,,36.579,,,,,,,
100.584,12.25,,33.505,,,,,,,
100.736,12.25,,32.599,,,,,,,
100.889,12.25,,32.001,,,,,,,
101.041,12.25,,35.042,,,,,,,
101.194,12.25,,35.539,,,,,,,
101.346,12.25,,37.693,,,,,,,
101.498,12.25,,37.059,,,,,,,
101.651,12.25,,34.445,,,,,,,
101.803,12.25,,33.693,,,,,,,
101.956,12.25,,31.984,,,,,,,
102.108,12.25,,32.616,,,,,,,
102.26,12.25,,31.914,,,,,,,
102.413,12.25,,32.359,,,,,,,
102.565,12.25,,33.162,,,,,,,
102.718,12.25,,35.195,,,,,,,
102.87,12.25,,36.425,,,,,,,
103.022,12.25,,37.366,,,,,,,
103.175,12.25,,33.676,,,,,,,
103.327,12.25,,33.044,,,,,,,
103.48,12.25,,32.77,,,,,,,
103.632,12.25,,33.693,,,,,,,
103.784,12.25,,33.173,,,,,,,
103.937,12.25,,37.152,,,,,,,
104.089,12.25,,38.381,,,,,,,
104.242,12.25,,37.693,,,,,,,
104.394,12.25,,36.444,,,,,,,
104.546,12.25,,35.195,,,,,,,
104.699,12.25,,35.385,,,,,,,
104.851,12.25,,35.371,,,,,,,
105.004,12.25,,36.872,,,,,,,
105.156,12.25,,39.966,,,,,,,
105.308,12.25,,39.847,,,,,,,
105.461,12.25,,40.441,,,,,,,
105.613,12.25,,39.827,,,,,,,
105.766,12.25,,39.806,,,,,,,
105.918,12.25,,38.597,,,,,,,
106.07,12.25,,40.001,,,,,,,
106.223,12.25,,41.232,,,,,,,
106.375,12.25,,42.133,,,,,,,
106.528,12.25,,41.21,,,,,,,
106.68,12.25,,40.267,,,,,,,
