DEPT,TENS:1,TENS:2,DT_BHC,RLA5,RLA3,RSOZ,TNPH:1,CALI,BS,RLA4,RHOZ,PEFZ,RXO,GR:1,DTSM,RT,RLA1,NPHI,TNPH:2,GR:2,GR:3,DTCO,RLA2,RLA0,GR:4,RXOZ
768.096,2512.067,2503.666,115.0,27.496,13.99,0.097,0.295,8.432,8.5,19.856,2.291,3.061,1.968,109.469,,40.169,4.302,0.343,0.295,104.912,104.633,115.0,8.422,0.102,103.798,1.442
768.248,2528.399,2551.5,115.834,28.451,14.28,0.102,0.343,8.424,8.5,20.425,2.285,3.049,1.967,94.556,,41.529,4.323,0.354,0.343,104.487,101.118,115.834,8.555,0.101,106.663,1.426
768.401,2548.313,2558.501,115.75,30.816,15.086,0.094,0.355,8.416,8.5,21.757,2.285,3.044,1.872,99.472,,44.69,4.245,0.343,0.353,106.832,100.642,115.75,8.714,0.102,103.364,1.392
768.553,2510.601,2521.333,119.25,32.644,15.616,0.08,0.335,8.44,8.5,22.773,2.294,3.054,1.809,108.391,,47.298,4.178,0.329,0.333,110.934,104.968,119.25,8.709,0.102,110.246,1.388
768.706,2457.267,2473.667,118.334,34.603,16.137,0.061,0.321,8.44,8.5,23.748,2.304,3.06,1.781,107.298,,50.069,4.156,0.329,0.319,113.543,107.828,118.334,8.765,0.103,118.717,1.389
768.858,2497.801,2507.667,118.25,34.582,16.064,0.041,0.323,8.5,8.5,23.659,2.31,3.054,1.753,108.061,,49.788,4.101,0.353,0.322,112.534,104.633,118.25,8.811,0.104,111.737,1.407
769.01,2486.733,2490.332,116.666,34.353,16.011,0.031,0.351,8.512,8.5,23.531,2.309,3.032,1.751,98.323,,49.445,4.095,0.334,0.351,109.192,102.295,116.666,8.785,0.105,107.061,1.396
769.163,2498.0,2523.501,117.5,33.684,15.897,0.033,0.33,8.512,8.5,23.182,2.293,2.989,1.834,100.446,,48.777,4.213,0.318,0.33,108.76,98.62,117.5,8.805,0.106,108.881,1.403
769.315,2449.125,2448.5,117.998,31.699,15.079,0.024,0.323,8.488,8.5,21.825,2.274,2.938,1.833,96.994,,45.846,4.139,0.312,0.323,105.74,96.218,117.998,8.586,0.105,110.227,1.309
769.468,2484.429,2521.5,118.334,30.514,14.504,0.007,0.315,8.472,8.5,20.972,2.257,2.879,1.761,92.26,,44.065,3.978,0.325,0.315,108.577,91.822,118.334,8.258,0.103,98.155,1.158
769.62,2508.25,2512.0,118.25,29.716,13.972,0.002,0.326,8.512,8.5,20.317,2.255,2.846,1.658,87.427,,42.894,3.764,0.339,0.326,109.609,89.946,118.25,7.854,0.103,117.621,1.148
769.772,2463.067,2440.0,119.0,29.971,14.216,0.019,0.333,8.512,8.5,20.355,2.255,2.829,1.828,91.01,,43.573,4.015,0.35,0.334,112.887,91.665,119.0,8.106,0.104,112.887,1.226
769.925,2546.532,2569.501,118.334,27.866,13.529,0.024,0.343,8.536,8.5,18.963,2.257,2.832,1.902,96.654,,40.688,4.05,0.356,0.343,108.019,97.475,118.334,7.884,0.103,108.261,1.238
770.077,2527.001,2500.334,119.25,26.264,12.779,0.021,0.364,8.536,8.5,17.873,2.264,2.839,1.822,105.276,,38.209,3.867,0.354,0.364,103.418,96.452,119.25,7.55,0.103,102.794,1.233
770.23,2521.533,2498.0,120.0,27.691,13.299,0.014,0.359,8.552,8.5,18.787,2.275,2.846,1.809,88.089,,40.097,3.896,0.335,0.359,101.664,97.96,120.0,7.834,0.105,99.214,1.22
770.382,2504.666,2480.0,119.25,28.651,13.682,0.021,0.346,8.56,8.5,19.424,2.284,2.855,1.827,101.085,,41.543,3.958,0.334,0.347,99.782,92.864,119.25,7.969,0.106,102.898,1.327
770.534,2560.187,2515.0,117.416,29.043,13.972,0.027,0.342,8.56,8.5,19.864,2.287,2.859,1.855,89.388,,42.261,4.044,0.347,0.343,100.13,96.864,117.416,8.037,0.107,96.937,1.339
770.687,2516.428,2491.0,117.416,28.701,13.9,0.038,0.346,8.56,8.5,19.835,2.292,2.866,1.783,100.34,,41.576,3.96,0.351,0.347,102.198,97.761,117.416,7.985,0.108,100.343,1.362
770.839,2459.401,2439.667,118.334,29.134,13.972,0.037,0.348,8.536,8.5,20.207,2.293,2.874,1.751,103.676,,42.352,3.924,0.344,0.348,106.561,101.364,118.334,7.905,0.108,108.991,1.374
770.992,2496.4,2483.5,116.75,31.781,14.897,0.04,0.337,8.512,8.5,22.124,2.3,2.911,1.759,100.298,,46.437,4.019,0.335,0.337,111.308,97.831,116.75,8.193,0.109,110.338,1.387
771.144,2465.143,2468.0,117.584,33.18,15.293,0.034,0.334,8.512,8.5,23.144,2.304,2.933,1.718,89.621,,48.443,3.994,0.319,0.334,112.909,94.863,117.584,8.312,0.11,114.706,1.402
771.296,2456.932,2447.333,117.501,34.18,15.544,0.033,0.319,8.524,8.5,23.885,2.308,2.922,1.721,94.718,,50.031,4.019,0.319,0.319,113.33,94.908,117.501,8.405,0.109,113.976,1.359
771.449,2502.733,2507.501,115.834,34.425,15.623,0.02,0.312,8.576,8.5,24.418,2.305,2.875,1.722,100.555,,50.657,4.037,0.306,0.312,114.308,96.257,115.834,8.45,0.109,111.729,1.363
771.601,2485.429,2504.5,115.25,33.972,15.616,0.008,0.303,8.6,8.5,24.537,2.29,2.842,1.734,93.388,,50.224,4.083,0.311,0.303,110.014,100.765,115.25,8.455,0.109,117.325,1.342
771.754,2525.468,2544.999,117.584,32.619,15.129,0.0,0.313,8.552,8.5,23.902,2.271,2.85,1.639,108.34,,48.211,3.917,0.328,0.313,106.632,98.616,117.584,8.145,0.108,100.674,1.3
